title,authors,date,link,eid,abstract
Structure–activity relationship of cyclic pentapeptide malformins as fibrinolysis enhancers,"{'author': [{'@_fa': 'true', 'surname': 'Koizumi', 'given-name': 'Yukio'}, {'@_fa': 'true', 'surname': 'Nagai', 'given-name': 'Kenichiro'}, {'@_fa': 'true', 'surname': 'Hasumi', 'given-name': 'Keiji'}, {'@_fa': 'true', 'surname': 'Kuba', 'given-name': 'Keiji'}, {'@_fa': 'true', 'surname': 'Sugiyama', 'given-name': 'Toshihiro'}]}",1 November 2016,http://api.elsevier.com/content/article/pii/S0960894X16309866,1-s2.0-S0960894X16309866,"AbstractThe formation of blood clots in blood vessels causes severe ischemic diseases such as cerebral infarction and myocardial infarction. While searching for microbial products that increase fibrinolytic activity using an in vitro fibrin degradation assay, we found malformin A1, a disulfide form of cyclo(–d-Cys-d-Cys-l-Val-d-Leu-l-Ile–), as an active compound. In this study, we synthesized malformin derivatives using a solid-phase peptide synthesis method and evaluated their fibrinolytic activity and cytotoxicity. Reduction of the disulfide bond and linearization of the cyclic peptide frame decreased the pro-fibrinolytic activity. Substitution of a branched-chain amino acid with lysine resulted in loss of activity. However, protection of the amino group in the lysine derivatives by the tert-butoxycarbonyl (Boc) group rescued the inactivity. Furthermore, the phenylalanine derivatives also exhibited a similar pro-fibrinolytic effect compared to malformin A1. These results suggest that the disulfide bond, the cyclic peptide frame, and the bulky hydrophobic side chains play a crucial role in the pro-fibrinolytic activity of malformin. The effective dose of the active derivatives for the in vitro fibrin degradation showed similar ranges (1–5μM), while the order of cytotoxic potency for the active derivatives was as follows: Phe-derivatives&gt;BocLys-derivatives&gt;malformin A1&gt;reduced form. These results showed no correlation between pro-fibrinolytic activity and cytotoxicity, suggesting the possibility of the synthesis for non-toxic malformin derivatives possessing the activity."
Stimulation of thrombin- and plasmin-mediated activation of thrombin-activatable fibrinolysis inhibitor by anionic molecules,"{'author': [{'@_fa': 'true', 'surname': 'Plug', 'given-name': 'Tom'}, {'@_fa': 'true', 'surname': 'Meijers', 'given-name': 'Joost C.M.'}]}",October 2016,http://api.elsevier.com/content/article/pii/S0049384816305151,1-s2.0-S0049384816305151,"AbstractBackgroundThrombin-activatable fibrinolysis inhibitor (TAFI) is a proenzyme that, once activated, attenuates fibrinolysis by removing C-terminal lysine residues from partially degraded fibrin. TAFI can be activated by thrombin or plasmin via a cleavage at Arg92 that removes the activation peptide from the enzyme, TAFIa. Thrombomodulin enhances thrombin-mediated TAFI activation and glycosaminoglycans enhance plasmin-mediated TAFI activation. The aim of this study was to investigate whether there are other anionic molecules that function as a cofactor for thrombin- or plasmin-mediated TAFI activation.MethodsTAFI activation by thrombin or plasmin was studied in the presence of physiological anionic molecules (polyphosphate, heparin, hyaluronan, DNA and dermatan sulfate) and the non-physiological sodium dodecyl sulfate (SDS). Additionally, the effect of these molecules on TAFIa stability and on thrombin-mediated protein C activation was determined.ResultsUnfractioned heparin, calcium-saturated polyphosphate with an average chain length of 100 monomers (Ca-PolyP100) and SDS significantly enhanced TAFI activation by thrombin and plasmin. Dermatan sulfate and polyphosphates with sodium as counter ion (Na-PolyP700, Na-PolyP100 and Na-PolyP70) enhanced plasmin-mediated but not thrombin-mediated TAFI activation. Additionally, unfractioned heparin, Ca-PolyP100 and SDS enhanced thrombin-mediated protein C activation. The different nature of anionic molecules capable of enhancing TAFI and protein C activation suggests a general mechanism.ConclusionsSeveral anionic molecules function as (potent) cofactors for thrombin- and plasmin-mediated TAFI activation and thrombin-mediated protein C activation. This may imply that thrombin and plasmin activity is regulated in the vasculature by more cofactors than currently appreciated."
Dysfunctional coagulation and fibrinolysis systems due to adenomyosis is a possible cause of thrombosis and menorrhagia,"{'author': [{'@_fa': 'true', 'surname': 'Yamanaka', 'given-name': 'Akiyoshi'}, {'@_fa': 'true', 'surname': 'Kimura', 'given-name': 'Fuminori'}, {'@_fa': 'true', 'surname': 'Yoshida', 'given-name': 'Takashi'}, {'@_fa': 'true', 'surname': 'Kita', 'given-name': 'Nobuyuki'}, {'@_fa': 'true', 'surname': 'Takahashi', 'given-name': 'Kentaro'}, {'@_fa': 'true', 'surname': 'Kushima', 'given-name': 'Ryoji'}, {'@_fa': 'true', 'surname': 'Murakmai', 'given-name': 'Takashi'}]}",September 2016,http://api.elsevier.com/content/article/pii/S0301211516308260,1-s2.0-S0301211516308260,"AbstractObjectiveTo study the effects of adenomyosis on the coagulation and fibrinolysis system during menstruation and the relationship between dysfunction of the coagulation and fibrinolysis system and the symptoms and complications of adenomyosis.Study designConcentrations of thrombin–antithrombin complex (TAT) and soluble fibrin (SF) as markers of coagulation, D-dimer (DD) as a marker of both coagulation and fibrinolysis, and plasmin-alpha 2-plasmin inhibitor complex (PIC) as a marker of fibrinolysis in the peripheral blood of eight patients with adenomyosis were measured daily from the first to fifth day of menstruation. Associations between levels of these markers during menstruation and patient characteristics, history of thrombotic disorder, and hemoglobin loss during menstruation were investigated.ResultsTAT, SF, DD and PIC increased in 5, 2, 3 and 1 of the 8 patients, respectively. TAT increased in 5 of the 6 patients with an adenomyotic uterus ≥100 cubic centimeters. Patients with elevated DD, SF and/or PIC were among patients with elevated TAT. DD was only increased in 3 patients with a past history of small cerebral infarction or pulmonary thromboembolism and/or hemoglobin loss &gt;2.0g/dl during menstruation. SF was increased only in 2 patients with a past history of cerebral infarction or pulmonary thromboembolism. PIC increased in 1 of the 2 patients with hemoglobin loss &gt;2.0g/dl during menstruation.ConclusionAdenomyosis patients with a uterus volume ≥100 cubic centimeters are at risk of having an activated coagulation system. These patients, particularly those with elevated SF and DD, may be at risk of thrombotic disorders. Fibrinolysis is activated in a portion of patients with activated coagulation during menstruation. Activated fibrinolysis during menstruation may contribute to menorrhagia in patients with adenomyosis, as only patients with activated fibrinolysis suffered menorrhagia, even though patients with an adenomyotic uterus ≥100 cubic centimeters without activated fibrinolysis did not. These results suggest extensive adenomyosis confers a potential risk of infarction and thrombosis and exacerbates menorrhagia via activation of coagulation and fibrinolysis during menstruation."
Fibrin clot formation and fibrinolysis in patients with a history of coronary stent thrombosis,"{'author': [{'@_fa': 'true', 'surname': 'Godschalk', 'given-name': 'Thea C.'}, {'@_fa': 'true', 'surname': 'Konings', 'given-name': 'Joke'}, {'@_fa': 'true', 'surname': 'Govers-Riemslag', 'given-name': 'José W.'}, {'@_fa': 'true', 'surname': 'ten Berg', 'given-name': 'Jurriën M.'}, {'@_fa': 'true', 'surname': 'Hackeng', 'given-name': 'Christian M.'}, {'@_fa': 'true', 'surname': 'ten Cate', 'given-name': 'Hugo'}]}",July 2016,http://api.elsevier.com/content/article/pii/S0049384816303280,1-s2.0-S0049384816303280,"AbstractIntroductionCoronary stent thrombosis is a devastating complication of percutaneous coronary intervention (PCI). Multiple factors underlie the pathophysiological mechanisms of stent thrombosis. Previous studies demonstrated that patients with stent thrombosis, compared to control PCI patients, formed denser fibrin clots in vitro which were more resistant to fibrinolysis, suggesting that altered fibrin clot properties may contribute to the pathophysiology of stent thrombosis. We assessed the plasma fibrin clot formation and fibrinolysis of patients with and without stent thrombosis.MethodsCases (patients with stent thrombosis) and matched controls (patients without stent thrombosis) were included for a matched case-control study. Matching was performed on indication and time of the index PCI (initial stent implantation) from the cases. Fibrin clot formation and fibrinolysis were assessed in vitro by turbidimetric assays, with human thrombin to initiate fibrin polymerization and tissue type plasminogen activator to initiate fibrinolysis. Lag time, maximal absorbance and clot lysis time were determined by these assays.ResultsIn total, 27 cases and 27 controls were included. No significant differences were observed between cases and controls in lag time (173 vs. 162s, p=0.18), maximal absorbance (0.78 vs. 0.83, p=0.36), and clot lysis time (69 vs. 71min, p=0.78). Fibrin clot formation and fibrinolysis were not associated with stent thrombosis.ConclusionsPlasma fibrin clot formation and fibrinolysis were not significantly different between patients with stent thrombosis and matched control patients, suggesting that fibrin clot formation and fibrinolysis play no significant role in the pathophysiology of stent thrombosis."
Bidirectional functions of thrombin on fibrinolysis: Evidence of thrombin-dependent enhancement of fibrinolysis provided by spontaneous plasma clot lysis,"{'author': [{'@_fa': 'true', 'surname': 'Tomczyk', 'given-name': 'Martyna'}, {'@_fa': 'true', 'surname': 'Suzuki', 'given-name': 'Yuko'}, {'@_fa': 'true', 'surname': 'Sano', 'given-name': 'Hideto'}, {'@_fa': 'true', 'surname': 'Brzoska', 'given-name': 'Tomasz'}, {'@_fa': 'true', 'surname': 'Tanaka', 'given-name': 'Hiroki'}, {'@_fa': 'true', 'surname': 'Urano', 'given-name': 'Tetsumei'}]}",July 2016,http://api.elsevier.com/content/article/pii/S0049384816303164,1-s2.0-S0049384816303164,"AbstractBesides procoagulant activity, thrombin exhibits anticoagulant and profibrinolytic activities. We demonstrated that the euglobulin clot lysis time (ECLT) was shortened by endogenously generated thrombin as a result of the inactivation of plasminogen activator inhibitor type 1 (PAI-1). In contrast, thrombin suppressed fibrinolytic activity through the activation of thrombin activatable fibrinolysis inhibitor (TAFI). Here, using three different clot lysis assays of the ECLT, the tissue plasminogen activator supplemented plasma clot lysis time (tPA-PCLT) and the spontaneous plasma clot lysis time (s-PCLT), we analyzed how the coagulation process modifies fibrinolysis. The ECLT was shortened by exogenously supplemented thrombin in a dose-dependent manner in the absence of calcium ion (Ca++), whereas this shortening was not observed in the presence of Ca++ where endogenous prothrombin was effectively activated to thrombin. This shortening was also not observed for the tPA-PCLT, in which tPA is supplemented in excess and PAI-1 activity is mostly lost. On the contrary, thrombin dose-dependently prolonged the tPA-PCLT, which was mostly abolished by inhibitors of carboxypeptidase and activated FXIII, suggesting that the prolongation is TAFI- and Factor XIII-dependent. The s-PCLT was shortened when thrombin generation was boosted by supplementing tissue factor and phosphatidylserine together with Ca++, which was more apparent in the presence of inhibitors of activated FXIII and activated TAFI. Thus, thrombin appeared to express its enhancing effect on fibrinolysis even in plasma, in addition to its inhibiting effect. These bidirectional functions of thrombin on fibrinolysis seem to take place on demand under different environments to maintain adequate vascular blood flow."
Radial versus femoral access for percutaneous coronary intervention in ST-elevation myocardial infarction patients treated with fibrinolysis: Results from the randomized routine early invasive clinical trials,"{'author': [{'@_fa': 'true', 'surname': 'Graham', 'given-name': 'John J.'}, {'@_fa': 'true', 'surname': 'Yan', 'given-name': 'Andrew T.'}, {'@_fa': 'true', 'surname': 'Tan', 'given-name': 'Mary K.'}, {'@_fa': 'true', 'surname': 'Cantor', 'given-name': 'Warren J.'}, {'@_fa': 'true', 'surname': 'DiMario', 'given-name': 'Carlo'}, {'@_fa': 'true', 'surname': 'Jolly', 'given-name': 'Sanjit S.'}, {'@_fa': 'true', 'surname': 'Halvorsen', 'given-name': 'Sigrun'}, {'@_fa': 'true', 'surname': 'Fernandez-Aviles', 'given-name': 'Francisco'}, {'@_fa': 'true', 'surname': 'Le May', 'given-name': 'Michel R.'}, {'@_fa': 'true', 'surname': 'Scheller', 'given-name': 'Bruno'}, {'@_fa': 'true', 'surname': 'Borgia', 'given-name': 'Francesco'}, {'@_fa': 'true', 'surname': 'Piscione', 'given-name': 'Federico'}, {'@_fa': 'true', 'surname': 'Madan', 'given-name': 'Mina'}, {'@_fa': 'true', 'surname': 'Goodman', 'given-name': 'Shaun G.'}]}",July–August 2016,http://api.elsevier.com/content/article/pii/S1553838916300938,1-s2.0-S1553838916300938,"AbstractBackgroundTo investigate the relationship between arterial access site choice (radial versus femoral) and clinical outcomes among STEMI patients undergoing routine PCI after fibrinolysis.MethodsPatient-level data from trials of STEMI patients evaluating routine PCI after fibrinolysis were included. The primary endpoint was 30-day major bleeding; secondary endpoints included 30-day death and re-infarction.Results1891 patients underwent PCI (trans-radial n=338, trans-femoral n=1553). Trans-radial PCI patients were less likely to be &gt;75years (2% vs. 8%, p=0.0001), heavier (median weight 82 [72–90] vs. 80 [70–90] kg, p=0.0013) and more likely in Killip class I at presentation (87% vs. 82%, p=0.03). At 30days, trans-radial PCI was associated with a similar unadjusted risk for major bleeding (3.7% vs. 1.2%, Odds Ratio [OR] 0.43 [95% CI 0.13–1.48], p=0.18), mortality (3.4% vs. 1.2%, OR 0.34 [0.09–1.28], p=0.11) and re-infarction (3.9% vs. 4.7%, OR 1.25 [0.60–2.58], p=0.56). In multivariable analysis, radial access was associated with similar estimates for bleeding and death/reinfarction risk.ConclusionsIn STEMI patients treated with fibrinolysis and undergoing an early routine invasive strategy, radial compared to femoral PCI is chosen in younger, less ill patients and is independently associated with similar risk of bleeding, re-infarction, and mortality.SummaryThis study evaluated the relationship between arterial access choice (radial versus femoral) and in-hospital and 30-day outcomes in patients undergoing routine PCI after fibrinolysis for STEMI. We included patient-level data from trials evaluating a strategy of routine PCI after fibrinolysis for STEMI. Of 1891 patients undergoing PCI, trans-radial access (n=338) was chosen in younger, lower risk patients. At 30days, trans-radial access was associated with a similar unadjusted and adjusted risk of major bleeding, re-infarction and mortality."
Fibrinólisis con rtPA para hemorragia intraventricular. Reportes de caso en la unidad de cuidados intensivos,"{'author': [{'@_fa': 'true', 'surname': 'Rendón', 'given-name': 'Juan Camilo'}, {'@_fa': 'true', 'surname': 'González', 'given-name': 'María Virginia'}, {'@_fa': 'true', 'surname': 'Lora', 'given-name': 'César'}, {'@_fa': 'true', 'surname': 'Hernández', 'given-name': 'Olga'}]}",July–September 2016,http://api.elsevier.com/content/article/pii/S0122726216300374,1-s2.0-S0122726216300374,N/A
Effect of remote ischaemic conditioning on coagulation and fibrinolysis,"{'author': [{'@_fa': 'true', 'surname': 'Kristiansen', 'given-name': 'Jacobina'}, {'@_fa': 'true', 'surname': 'Grove', 'given-name': 'Erik L.'}, {'@_fa': 'true', 'surname': 'Rise', 'given-name': 'Nina'}, {'@_fa': 'true', 'surname': 'Neergaard-Petersen', 'given-name': 'Søs'}, {'@_fa': 'true', 'surname': 'Würtz', 'given-name': 'Morten'}, {'@_fa': 'true', 'surname': 'Kristensen', 'given-name': 'Steen Dalby'}, {'@_fa': 'true', 'surname': 'Hvas', 'given-name': 'Anne-Mette'}]}",May 2016,http://api.elsevier.com/content/article/pii/S0049384816300779,1-s2.0-S0049384816300779,"AbstractIntroductionRemote ischaemic conditioning (RIC) reduces infarct size and may improve prognosis in patients with acute myocardial infarction. To explore the potential mechanisms, we investigated the effects of RIC on coagulation and fibrinolysis.MethodsInterventional crossover study including 30 healthy drug-naïve males. Participants were exposed to a sham intervention (visit 1) and to RIC (visit 2 and 3) induced by intermittent arm ischaemia through four cycles of 5-min inflation of a blood pressure cuff followed by 5-min deflation. Prior to visit 3, all participants received aspirin 75mg daily for seven days. Blood samples were obtained at baseline as well as 5 and 45min after intervention. Whole blood coagulation was assessed by thromboelastometry (ROTEM®) and thrombin generation. Fibrinolysis was evaluated by clot turbidity-lysis, tissue plasminogen activator (t-PA), and plasminogen activator inhibitor-1 (PAI-1).ResultsNo differences were found in clot initiation, clot propagation or clot strength evaluated by ROTEM® (all p-values≥0.98). During aspirin treatment, clot initiation and clot propagation decreased after RIC evaluated by ROTEM® EXTEM® clotting time (p=0.04) and ROTEM® EXTEM® maximum velocity (p=0.03). After sham and RIC, thrombin generation declined as evaluated by reduced endogenous thrombin potential (RIC: p=0.001) and peak (RIC: p=0.01). After RIC during aspirin treatment, changes in thrombin generation were inconsistent; increased peak (p=0.04) and time to peak (p&lt;0.001) and a decrease in lag-time (p&lt;0.001).Clot lysis time was prolonged both after sham and after RIC (p&lt;0.001). After RIC, PAI-1 levels declined (p=0.03), but t-PA levels also declined after all interventions (p-values≤0.04).Conclusion.RIC did not have substantial effects on coagulation or fibrinolysis compared to sham. Overall, aspirin did not influence the results."
Synergistic fibrinolysis: The combined effects of tissue plasminogen activator and recombinant staphylokinase in vitro,"{'author': [{'@_fa': 'true', 'surname': 'Aisina', 'given-name': 'Roza'}, {'@_fa': 'true', 'surname': 'Mukhametova', 'given-name': 'Liliya'}, {'@_fa': 'true', 'surname': 'Varfolomeyev', 'given-name': 'Sergei'}]}",April 2016,http://api.elsevier.com/content/article/pii/S030441651500361X,1-s2.0-S030441651500361X,"AbstractBackgroundMechanisms of fibrin-specificity of tissue plasminogen activator (tPA) and recombinant staphylokinase (STA) are different, therefore we studied in vitro the possibility of the synergy of their combined thrombolytic action.MethodsThrombolytic effects of tPA, STA and their combinations were measured by lysis rate of human plasma clot and side effects were evaluated by decreasing in fibrinogen, plasminogen and α2-antiplasmin levels in the surrounding plasma at 37°C in vitro.ResultsSTA and tPA induced dose- and time-dependent clot lysis: 50% lysis in 2h was obtained with 30nM tPA and 75nM STA, respectively. At these concentrations, tPA produced greater degradation of plasma fibrinogen than STA. According to a mathematical analysis of dose–response curves by the isobole method, combinations of tPA and STA caused a considerable synergistic thrombolytic effect. The simultaneous and sequential combinations of tPA (&lt;4nM) and STA (&lt;35nM) induced a significant fibrin-specific synergistic thrombolysis, which was more pronounced in 2h at simultaneous combinations than at sequential addition of STA after 30min of tPA action. Simultaneous combination of 2.5nM tPA and 15nM STA showed a maximal 3-fold increase in thrombolytic effect compared to the expected total effect of the individual agents. Sequential combinations caused a lower depletion of plasma proteins compared to simultaneous combinations.ConclusionsThe simultaneous and sequential combinations of tPA and STA possessed synergistic fibrin-specific thrombolytic action on clot lysis in vitro.General significanceThe results show that combined thrombolysis may be more effective and safer than thrombolysis with each activator alone."
"Fibrinólisis intravenosa del ACV isquémico en un hospital municipal de mediana complejidad en la ciudad de General Villegas, provincia de Buenos Aires","{'author': [{'@_fa': 'true', 'surname': 'Hawkes', 'given-name': 'Maximiliano A.'}, {'@_fa': 'true', 'surname': 'Vázquez', 'given-name': 'Hernán'}, {'@_fa': 'true', 'surname': 'Crusat', 'given-name': 'Oreste'}, {'@_fa': 'true', 'surname': 'Peralta', 'given-name': 'Pablo E.'}, {'@_fa': 'true', 'surname': 'Palombo', 'given-name': 'Carlos'}, {'@_fa': 'true', 'surname': 'Ameriso', 'given-name': 'Sebastián F.'}]}",April–June 2016,http://api.elsevier.com/content/article/pii/S1853002816000227,1-s2.0-S1853002816000227,N/A
