Title,Abstract,Date,Authors
The role of activated coagulation factor XII in overall clot stability and fibrinolysis.,"Activated coagulation factor XII (α-FXIIa) is able to bind to fibrin(ogen) and increases the density and stiffness of the fibrin clot. Conversely, proteins of the contact system and the fibrinolytic system show a high degree of homology and α-FXIIa can convert plasminogen into plasmin resulting in fibrin degradation. Therefore, we studied the contribution of α-FXIIa to overall clot stability and plasmin driven fibrinolysis in the absence and presence of tissue plasminogen activator (tPA). We observed that α-FXIIa directly converted plasminogen into plasmin and reduced clot lysis time at all tPA concentrations tested (15-1500 pM). Simultaneous assessment of plasmin generation (chromogenic substrate S-2251) and fibrin formation and degradation (absorbance at 405nm), showed an earlier onset of fibrinolysis and plasmin formation in the presence of α-FXIIa. Fibrinolysis of clots formed under flow conditions, revealed that incorporation of α-FXIIa accelerated clot breakdown (fluorescence release of labeled fibrin) by additional plasmin generation on top of formation by tPA. Scanning electron microscopy (SEM) revealed that the surface area pore size increased in the presence compared with the absence of α-FXIIa when fibrinolysis was initiated by the conversion of plasminogen with tPA during clot formation. α-FXIIa enhances fibrinolysis in the presence of plasminogen, irrespective of whether tPA was present during clot formation or was added afterwards to initiate fibrinolysis. We postulate that FXIIa first strengthens the clot structure during clot formation and thereafter contributes towards fibrinolysis.",2015,"['Konings, Joke', 'Hoving, Lisa R', 'Ariëns, Robert S', 'Hethershaw, Emma L', 'Ninivaggi, Marisa', 'Hardy, Lewis J', 'de Laat, Bas', 'Ten Cate, Hugo', 'Philippou, Helen', 'Govers-Riemslag, José W P']"
"Acute Fibrinolysis Shutdown after Injury Occurs Frequently and Increases Mortality: A Multicenter Evaluation of 2,540 Severely Injured Patients.","Fibrinolysis is a physiologic process that maintains microvascular patency by breaking down excessive fibrin clot. Hyperfibrinolysis is associated with a doubling of mortality. Fibrinolysis shutdown, an acute impairment of fibrinolysis, has been recognized as a risk factor for increased mortality. The purpose of this study was to assess the incidence and outcomes of fibrinolysis phenotypes in 2 urban trauma centers. Injured patients included in the analysis were admitted between 2010 and 2013, were 18 years of age or older, and had an Injury Severity Score (ISS) > 15. Admission fibrinolysis phenotypes were determined by the clot lysis at 30 minutes (LY30): shutdown ≤ 0.8%, physiologic 0.9% to 2.9%, and hyperfibrinolysis ≥ 3%. Logistic regression was used to adjust for age, arrival blood pressure, ISS, mechanism, and facility. There were 2,540 patients who met inclusion criteria. Median age was 39 years (interquartile range [IQR] 26 to 55 years) and median ISS was 25 (IQR 20 to 33), with a mortality rate of 21%. Fibrinolysis shutdown was the most common phenotype (46%) followed by physiologic (36%) and hyperfibrinolysis (18%). Hyperfibrinolysis was associated with the highest death rate (34%), followed by shutdown (22%), and physiologic (14%, p < 0.001). The risk of mortality remained increased for hyperfibrinolysis (odds ratio [OR] 3.3, 95% CI 2.4 to 4.6, p < 0.0001) and shutdown (OR 1.6, 95% CI 1.3 to 2.1, p = 0.0003) compared with physiologic when adjusting for age, ISS, mechanism, head injury, and blood pressure (area under the receiver operating characteristics curve 0.82, 95% CI 0.80 to 0.84).",2016,"['Moore, Hunter B', 'Moore, Ernest E', 'Liras, Ioannis N', 'Gonzalez, Eduardo', 'Harvin, John A', 'Holcomb, John B', 'Sauaia, Angela', 'Cotton, Bryan A']"
Shock releases bile acid inducing platelet inhibition and fibrinolysis.,"Metabolites are underappreciated for their effect on coagulation. Taurocholic acid (TUCA), a bile acid, has been shown to regulate cellular activity and promote fibrin sealant degradation. We hypothesize that TUCA impairs whole blood clot formation and promotes fibrinolysis. TUCA was exogenously added to whole blood obtained from volunteers. A titration from 250 μM-750 μM was used due to biologic relevance. Whole blood mixtures were assayed using thrombelastography for clot strength (maximum amplitude [MA]) and fibrinolysis (LY30) quantification. Tranexamic acid was used to block plasmin-mediated fibrinolysis. Platelet microfluidics were performed. A proteomic analysis was completed on citrated plasma obtained from a shock and resuscitation rat model. Fibrinolysis increased when 750-μM TUCA was added to whole blood (median LY30 0.08-5.7, P = 0.010) and clot strength decreased (median MA of 53.3-43.8, P = 0.010). The addition of tranexamic acid, to a 750-μM TUCA titration, partially reversed the induced fibrinolysis (LY30: without 7.7 versus with 2.7) and the decrease in clot strength (MA: without 48.2 versus with 53.2), but did not reverse the effects to whole blood levels. Platelet function reduced by 50% in the presence of 100-μM TUCA. Rats had a median 52-fold increase in TUCA, after a shock state that stayed elevated after resuscitation.",2015,"['Wiener, Gregory', 'Moore, Hunter B', 'Moore, Ernest E', 'Gonzalez, Eduardo', 'Diamond, Scott', 'Zhu, Shu', ""D'Alessandro, Angelo"", 'Banerjee, Anirban']"
Cell-Free DNA Modulates Clot Structure and Impairs Fibrinolysis in Sepsis.,"Sepsis is characterized by systemic activation of inflammation and coagulation in response to infection. In sepsis, activated neutrophils extrude neutrophil extracellular traps composed of cell-free DNA (CFDNA) that not only trap pathogens but also provide a stimulus for clot formation. Although the effect of CFDNA on coagulation has been extensively studied, much less is known about the impact of CFDNA on fibrinolysis. To address this, we (1) investigated the relationship between CFDNA levels and fibrinolytic activity in sepsis and (2) determined the mechanisms by which CFDNA modulates fibrinolysis. Plasma was collected from healthy and septic individuals, and CFDNA was quantified. Clot lysis assays were performed in plasma and purified systems, and lysis times were determined by monitoring absorbance. Clot morphology was assessed using scanning electron microscopy. Clots formed in plasma from septic patients containing >5 µg/mL CFDNA were dense in structure and resistant to fibrinolysis, a phenomenon overcome by deoxyribonuclease addition. These effects were recapitulated in control plasma supplemented with CFDNA. In a purified system, CFDNA delayed fibrinolysis but did not alter tissue-type plasminogen activator-induced plasmin generation. Using surface plasmon resonance, CFDNA bound plasmin with a Kd value of 4.2±0.3 µmol/L, and increasing concentrations of CFDNA impaired plasmin-mediated degradation of fibrin clots via the formation of a nonproductive ternary complex between plasmin, CFDNA, and fibrin.",2015,"['Gould, Travis J', 'Vu, Trang T', 'Stafford, Alan R', 'Dwivedi, Dhruva J', 'Kim, Paul Y', 'Fox-Robichaud, Alison E', 'Weitz, Jeffrey I', 'Liaw, Patricia C']"
Peroxynitrite may affect fibrinolysis via the reduction of platelet-related fibrinolysis resistance and alteration of clot structure.,"We tested the hypothesis that in vitro peroxynitrite (ONOO(-), a product of activated inflammatory cells) may affect fibrinolysis in human blood through the reduction of platelet-related fibrinolysis resistance. It was found that ONOO(-) (25-300 µM) accelerated lysis of platelet-fibrin clots (in PRP) dose-dependently, whereas fibrinolysis of platelet-free clots was slightly inhibited by ≥ 1000 µM stressor. Concentrations of ONOO(-) affecting the lysis of platelet-rich clots, inhibited clot retraction (CR) in a dose-dependent manner. Thromboelastometry (ROTEM) measurements performed in PRP showed that treatment with ONOO(-) (threshold conc. 100 µM) prolongs clotting time, and reduces alpha angle, and clot formation velocity parameters indicating for reduced thrombin formation rate. In PRP, ONOO(-) (threshold conc. 100 µM) reduced the collagen-evoked exposure of phosphatidylserine (PS) on platelets' plasma membrane, the shedding of platelet-derived microparticles (PMP), and inhibited platelet-dependent thrombin generation (measured in artificial system), dose-dependently. As judged by confocal microscopy, similar ONOO(-) concentrations altered the architecture of clots formed in collagen-treated PRP. Clots formed in the presence of ONOO(-) were less dense and were composed of thicker fibers, which make them more susceptible to lysis. In platelet-depleted plasma, ONOO(-) (up to milimolar concentration) did not alter clot structure. Blockage of PS exposed on platelets resulted in an alteration of clot architecture toward more prone to lysis. ONOO(-), at lysis-affecting concentrations, inhibited the collagen-evoked secretion of fibrinolytic inhibitors from platelets. We conclude that physiologically relevant ONOO(-) concentrations may accelerate the lysis of platelet-fibrin clots predominantly via downregulation of platelet-related mechanisms including: platelet secretion, clot retraction, platelet procoagulant response, and the alteration in clot architecture associated with it.",2015,"['Misztal, Tomasz', 'Rusak, Tomasz', 'Brańska-Januszewska, Justyna', 'Ostrowska, Halina', 'Tomasiak, Marian']"
Fibrinolysis shutdown phenotype masks changes in rodent coagulation in tissue injury versus hemorrhagic shock.,"Systemic hyperfibrinolysis (accelerated clot degradation) and fibrinolysis shutdown (impaired clot degradation) are associated with increased mortality compared with physiologic fibrinolysis after trauma. Animal models have not reproduced these changes. We hypothesize rodents have a shutdown phenotype that require an exogenous profibrinolytic to differentiate mechanisms that promote or inhibit fibrinolysis. Fibrinolysis resistance was assessed by thrombelastography (TEG) using exogenous tissue plasminogen activator (tPA) titrations in whole blood. There were 3 experimental groups: (1) tissue injury (laparotomy/bowel crush), (2) shock (hemorrhage to mean arterial pressure of 20 mmHg), and (3) control (arterial cannulation and tracheostomy). Baseline and 30-minute postintervention blood samples were collected, and assayed with TEG challenged with taurocholic acid (TUCA). Rats were resistant to exogenous tPA; the percent clot remaining 30 minutes after maximum amplitude (CL30) at 150 ng/mL (P = .511) and 300 ng/mL (P = .931) was similar to baseline, whereas 600 ng/mL (P = .046) provoked fibrinolysis. Using the TUCA challenge, the percent change in CL30 from baseline was increased in tissue injury compared with control (P = .048.), whereas CL30 decreased in shock versus control (P = .048). tPA increased in the shock group compared with tissue injury (P = .009) and control (P = .012).",2015,"['Moore, Hunter B', 'Moore, Ernest E', 'Lawson, Peter J', 'Gonzalez, Eduardo', 'Fragoso, Miguel', 'Morton, Alex P', 'Gamboni, Fabia', 'Chapman, Michael P', 'Sauaia, Angela', 'Banerjee, Anirban', 'Silliman, Christopher C']"
Assessment of Fibrinolysis in Sepsis Patients with Urokinase Modified Thromboelastography.,"Impairment of fibrinolysis during sepsis is associated with worse outcome. Early identification of this condition could be of interest. The aim of this study was to evaluate whether a modified point-of-care viscoelastic hemostatic assay can detect sepsis-induced impairment of fibrinolysis and to correlate impaired fibrinolysis with morbidity and mortality. This single center observational prospective pilot study was performed in an adult Intensive Care Unit (ICU) of a tertiary academic hospital. Forty consecutive patients admitted to the ICU with severe sepsis or septic shock were included. Forty healthy individuals served as controls. We modified conventional kaolin activated thromboelastography (TEG) adding urokinase to improve assessment of fibrinolysis in real time (UK-TEG). TEG, UK-TEG, plasminogen activator inhibitor (PAI)-1, thrombin-activatable fibrinolysis inhibitor (TAFI), d-dimer, DIC scores and morbidity (rated with the SOFA score) were measured upon ICU admission. Logistic regression was used to calculate odds ratios (ORs) and 95% confidence intervals (95% CIs) of mortality at ICU discharge. UK-TEG revealed a greater impairment of fibrinolysis in sepsis patients compared to healthy individuals confirmed by PAI-1. TAFI was not different between sepsis patients and healthy individuals. 18/40 sepsis patients had fibrinolysis impaired according to UK-TEG and showed higher SOFA score (8 (6-13) vs 5 (4-7), p = 0.03), higher mortality (39% vs 5%, p = 0.01) and greater markers of cellular damage (lactate levels, LDH and bilirubin). Mortality at ICU discharge was predicted by the degree of fibrinolysis impairment measured by UK-TEG Ly30 (%) parameter (OR 0.95, 95% CI 0.93-0.98, p = 0.003).",2015,"['Panigada, Mauro', 'Zacchetti, Lucia', ""L'Acqua, Camilla"", 'Cressoni, Massimo', 'Anzoletti, Massimo Boscolo', 'Bader, Rossella', 'Protti, Alessandro', 'Consonni, Dario', ""D'Angelo, Armando"", 'Gattinoni, Luciano']"
No increased systemic fibrinolysis in women with heavy menstrual bleeding.,"Bleeding disorders have been recognized as important etiologic or contributory factors in women with heavy menstrual bleeding. Fibrinolysis in the endometrium plays a role in heavy menstrual bleeding. It is unknown whether increased systemic fibrinolysis might also increase the risk of heavy menstrual bleeding. To investigate fibrinolytic parameters, including clot lysis time, in women with heavy menstrual bleeding. We included 102 patients referred for heavy menstrual bleeding (Pictorial Bleeding Assessment Chart score of > 100) in our cohort. Patients and controls (28 healthy volunteers without heavy menstrual bleeding) underwent hemostatic testing in the first week after menstruation. For 79 patients and all controls, fibrinolytic parameters (thrombin-activatable fibrinolysis inhibitor activity, and plasminogen activator inhibitor-1, tissue-type plasminogen activator and plasmin inhibitor levels) and clot lysis time were available. Fibrinolytic parameters were similar between patients and controls, except for thrombin-activatable fibrinolysis inhibitor (89.4% vs. 82.5%) and plasmin inhibitor (106% vs. 96%), the levels of which which were significantly higher in patients. In women with menorrhagia without gynecologic abnormalities, we found lower thrombin-activatable fibrinolysis inhibitor and plasminogen activator inhibitor-1 levels than in women with gynecologic abnormalities (thrombin-activatable fibrinolysis inhibitor, 85.4% vs. 94.8%; plasminogen activator inhibitor-1, 16.0 μg L(-1) vs. 24.5 μg L(-1) ).",2014,"['Wiewel-Verschueren, S', 'Knol, H M', 'Lisman, T', 'Bogchelman, D H', 'Kluin-Nelemans, J C', 'van der Zee, A G J', 'Mulder, A B', 'Meijer, K']"
Platelet-related fibrinolysis resistance in patients suffering from PV. Impact of clot retraction and isovolemic erythrocytapheresis.,"Using patients with polycythemia vera (PV) as an experimental model, we evaluated the impact of clot retraction (CR) and architecture of the clot on fibrinolysis. We studied the kinetics of clot retraction and the fibrinolysis rate in whole blood from 48 PV patients and 48 healthy controls. Measurements were performed before and after isovolemic eryhrocytapheresis (ECP). CR was measured by optical method. Clot lysis time (CLT) and maximum clot firmness (MCF) were measured by thromboelastometry in recalcified blood supplemented with t-PA and tissue factor. Compared with healthy controls, CR rate in PV patients was higher (0.0219 vs. 0.0138; p<0.001), the clot volume smaller and MCF elevated (64 vs. 58 mm). CR rate correlated with platelet count (r=0.546; p=0.001) but not with erythrocyte concentration (r=0.192; p>0.3). Compared with healthy controls, CLT in PV patients was significantly prolonged (158 min vs. 71 min). Fibrinolysis rate inversely correlated with CR rate (r=-0.566; p<0.001); MCF (r=-0.704; p<0.001) and platelet count (r=-0.461; p<0.001). As judged by confocal microscope, in comparison to healthy controls, clots formed in blood from PV patients demonstrated booth a distinctly higher degree of crosslinking and possessed thinner fibers. Altered CR, MCF and fibrinolysis speeds were not normalized following the ECP procedure. Tirofiban (a blocker of platelet GPIIb/IIIa receptors), unlike aspirin, normalized abnormal CR and fibrinolysis in blood from PV patients. Collectively, our data indicate that in PV patients, abnormal CR may result in formation of thrombi that are more resistant to fibrinolysis. ECP and aspirin failed to normalize platelet-related fibrinolysis resistance.",2014,"['Rusak, Tomasz', 'Piszcz, Jarosław', 'Misztal, Tomasz', 'Brańska-Januszewska, Justyna', 'Tomasiak, Marian']"
"Hemolysis exacerbates hyperfibrinolysis, whereas platelolysis shuts down fibrinolysis: evolving concepts of the spectrum of fibrinolysis in response to severe injury.","We have recently identified a spectrum of fibrinolysis in response to injury, in which there is increased mortality in patients who have either excessive fibrinolysis (hyperfibrinolysis [HF]) or impaired fibrinolysis (shutdown). The regulation of the fibrinolytic system after trauma remains poorly understood. Our group's previous proteomic and metabolomic work identified elevated red blood cell (RBC) degradation products in trauma patients manifesting HF. We therefore hypothesized that hemolysis was contributory to the pathogenesis of HF. Given the central role of platelets in the cell-based model of coagulation, we further investigated the potential role of platelet lysis in mediation of the fibrinolytic system. Red blood cells from healthy donors were frozen in liquid nitrogen and vortexed to create mechanical membrane disruption. Platelets were prepared in a similar fashion. Assays were performed with citrated whole blood mixed ex vivo with either RBC or platelet lysates. Tissue plasminogen activator (tPA) was then added to promote fibrinolysis, mimicking the tPA release from ischemic endothelium during hemorrhagic shock. The degree of fibrinolysis was evaluated with thromboelastography. To identify the mediators of the fibrinolysis system present in RBC and platelet lysates, these lysates were passed over immobilized tPA and plasminogen affinity columns to capture protein-binding partners from RBC or platelet lysates. The addition of 75 ng/mL of tPA to whole blood increased fibrinolysis from median 30-min lysis of 1.4% (interquartile range [IQR], 0.9%-2.0%) to 8.9% (IQR, 6.5%-11.5%). Red blood cell lysate with tPA increased fibrinolysis to 20.1% (IQR, 12.5%-33.7%), which was nearly three times as much lysis as tPA alone (P < 0.001). Conversely, the addition of platelet lysate decreased tPA-mediated fibrinolysis to 0.35% (IQR, 0.2%-0.8%; P < 0.001). Affinity chromatography coupled with tandem mass spectrometry identified a number of proteins not previously associated with regulation of fibrinolysis and trauma.",2015,"['Moore, Hunter B', 'Moore, Ernest E', 'Gonzalez, Eduardo', 'Hansen, Kirk C', 'Dzieciatkowska, Monika', 'Chapman, Michael P', 'Sauaia, Angela', 'West, Bernadette', 'Banerjee, Anirban', 'Silliman, Christopher C']"
