Title,Abstract,Date,Authors
The Occurrence of Thrombosis in Inflammatory Bowel Disease Is Reflected in the Clot Lysis Profile.,"The occurrence of thromboembolic events (TE) is an important extraintestinal manifestation in patients with inflammatory bowel disease (IBD). The aim of this study was to compare fibrinolysis and clot lysis parameters between (1) patients with IBD and healthy controls and (2) patients with IBD with TE (IBD + TE) and without TE (IBD - TE). One hundred thirteen healthy controls and 202 patients with IBD, of which 84 patients with IBD + TE and 118 patients with IBD - TE, were included in this case-control study. Three clot lysis parameters (area under the curve, 50% clot lysis time, and amplitude) were determined using a clot lysis assay. Plasminogen activator inhibitor 1 (PAI-1) and thrombin activatable fibrinolysis inhibitor concentrations were determined by enzyme-linked immunosorbent assay. PAI-1 antigen, active PAI-1, and intact thrombin activatable fibrinolysis inhibitor concentrations, as well as 50% clot lysis time and area under the curve, were significantly associated with the presence of IBD (all P < 0.05). The median time between TE and plasma collection was 5.0 (1.8-11.0) years. Comparing IBD + TE versus IBD - TE, active to total PAI-1 ratio (0.36 [0.24-0.61] versus 0.24 [0.13-0.40]), area under the curve (31 [24-49] versus 22 [13-31]), 50% clot lysis time (110 [64-132] versus 95 [70-126] minutes), and amplitude (0.295 [0.222-0.436] versus 0.241 [0.168-0.308]) were significantly higher in IBD + TE (all P <0.05) and remained higher after adjustment for age, gender, C-reactive protein, type of disease, presence of comorbidities, and disease activity.",2015,"['Bollen, Lize', 'Vande Casteele, Niels', 'Peeters, Miet', 'Van Assche, Gert', 'Ferrante, Marc', 'Van Moerkercke, Wouter', 'Declerck, Paul', 'Vermeire, Séverine', 'Gils, Ann']"
Bidirectional functions of thrombin on fibrinolysis: Evidence of thrombin-dependent enhancement of fibrinolysis provided by spontaneous plasma clot lysis.,"Besides procoagulant activity, thrombin exhibits anticoagulant and profibrinolytic activities. We demonstrated that the euglobulin clot lysis time (ECLT) was shortened by endogenously generated thrombin as a result of the inactivation of plasminogen activator inhibitor type 1 (PAI-1). In contrast, thrombin suppressed fibrinolytic activity through the activation of thrombin activatable fibrinolysis inhibitor (TAFI). Here, using three different clot lysis assays of the ECLT, the tissue plasminogen activator supplemented plasma clot lysis time (tPA-PCLT) and the spontaneous plasma clot lysis time (s-PCLT), we analyzed how the coagulation process modifies fibrinolysis. The ECLT was shortened by exogenously supplemented thrombin in a dose-dependent manner in the absence of calcium ion (Ca(++)), whereas this shortening was not observed in the presence of Ca(++) where endogenous prothrombin was effectively activated to thrombin. This shortening was also not observed for the tPA-PCLT, in which tPA is supplemented in excess and PAI-1 activity is mostly lost. On the contrary, thrombin dose-dependently prolonged the tPA-PCLT, which was mostly abolished by inhibitors of carboxypeptidase and activated FXIII, suggesting that the prolongation is TAFI- and Factor XIII-dependent. The s-PCLT was shortened when thrombin generation was boosted by supplementing tissue factor and phosphatidylserine together with Ca(++), which was more apparent in the presence of inhibitors of activated FXIII and activated TAFI. Thus, thrombin appeared to express its enhancing effect on fibrinolysis even in plasma, in addition to its inhibiting effect. These bidirectional functions of thrombin on fibrinolysis seem to take place on demand under different environments to maintain adequate vascular blood flow.",2016,"['Tomczyk, Martyna', 'Suzuki, Yuko', 'Sano, Hideto', 'Brzoska, Tomasz', 'Tanaka, Hiroki', 'Urano, Tetsumei']"
Direct microscopic monitoring of initial and dynamic clot lysis using plasmin or rt-PA in an in vitro flow system.,"Plasmin is a direct-acting thrombolytic agent with a favorable safety profile upon intra-arterial delivery in pre-clinical and phase I studies. However, the thrombolytic efficacy of plasmin, relative to that of rt-PA, remains to be established. We have compared the dynamics of clot lysis with plasmin or rt-PA in an in vitro perfusion system, in which thrombolytic agent is administered locally, allowed to induce lysis for short intervals, then washed with plasma in a re-circulation circuit. Whole blood human clots were prepared in observation chambers, exposed to plasmin or rt-PA at equimolar concentrations (1.2/1.0, 1.8/1.5 and 2.4/2.0 mg/ml) for measured intervals of time, followed by perfusion with human plasma. Clot size was monitored by digital analysis of sequential photographs obtained through an optical microscope. Plasma perfusion after incubation with thrombolytic agent rapidly removed superficial clot fragments. This initial decrease in clot size was greater with plasmin than with rt-PA when tested at the highest concentrations of agent (0.63 ± 0.11 vs. 0.30 ± 0.11, p=0.001 for clots with non-cross-linked fibrin and 0.53 ± 0.15 vs. 0.14 ± 0.15, p=0.02, for clots with cross-linked-fibrin). Subsequent clot lysis during plasma flow was greater after prior incubation with rt-PA. Longer incubation times of plasmin resulted in larger portions of the clot being washed free. Repeated plasmin incubations and plasma perfusions of a clot successfully induced stepwise reductions in clot size.",2014,"['Bizjak, Nina', 'Bajd, Franci', 'Vidmar, Jernej', 'Blinc, Aleš', 'Perme, Maja Pohar', 'Marder, Victor J', 'Novokhatny, Valery', 'Serša, Igor']"
Factors affecting clot lysis rates in patients with spontaneous intraventricular hemorrhage.,"In the treatment of severe intraventricular hemorrhage (IVH), thrombolytic use and clot size are known to influence clot lysis rates. We evaluated the effect of other variables on IVH clot lysis rates among patients treated with recombinant tissue-type plasminogen activator or placebo. One hundred patients with IVH and intracerebral hemorrhage volume <30 mL requiring emergency external ventricular drainage from 2 multicenter trials were treated with intraventricular administration of recombinant tissue-type plasminogen activator (n=78; 53 males, 25 females) or placebo (n=22; 7 males, 15 females). IVH volume was quantified daily by head CT. A segmented linear regression using an optimized spline knot for each patient was fit. Random effects linear regression was used to estimate the effect of prespecified patient characteristics on clot lysis rates over the first 6 days. Stability IVH volumes were larger in males (N=60; 54 ± 5 mL) than females (N=40; 36 ± 5 mL; P=0.01). Intraventricular thrombolytic treatment was associated with an increase in clot lysis rate of 14.6% of stability IVH volume/day before the spline knot compared with the placebo group (P<0.001). After adjustment for thrombolytic, higher baseline serum plasminogen and lower baseline platelet count were independently associated with an increase in clot lysis of 1.28%/day per 10-g/dL increase (P<0.001) and 0.70% /day per 10×10(3)/uL decrease (P<0.001) before the knot, respectively.",2012,"['Ziai, Wendy C', 'Muschelli, John', 'Thompson, Carol B', 'Keyl, Penelope M', 'Lane, Karen', 'Shao, Shuai', 'Hanley, Daniel F']"
Temporal changes in clot lysis and clot stability following tranexamic acid in cardiac surgery.,"Cardiac surgery induces a multifactorial coagulopathy. Regular use of tranexamic acid (TXA) is becoming standard of care. Clinical challenges include selecting optimal dosing regimen and balancing the benefit versus risk of additional dosing with antifibrinolytics. The objective was to evaluate the effect of TXA by assessing kinetic properties of plasma clot formation, clot stability, and clot fibrinolysis. The study was a prospective case follow-up of 28 patients undergoing cardiac surgery (mean age 63.9 years, 29% women). Blood samples were analysed at seven time points during the first 48 h after surgery. All patients were treated with TXA, 2 g at start surgery, 1 g during extra corporeal circulation, and 1 g after reversal of heparin. An automated clot lysis assay using tissue factor and tissue plasminogen activator (tPA) was performed to evaluate clot formation, stability, and fibrinolysis. TXA protects against facilitated fibrinolysis and induces up to 13-fold increase in clot stability. All patients showed complete resistance to tPA-induced fibrinolysis during the first 6 h after cardiac surgery declining to 33% of patients at 48 h. Impaired renal function was associated with prolonged resistance to tPA-induced fibrinolysis. Despite inhibition of fibrinolysis with TXA, the overall clot stability declines and the kinetic properties of clot formation were impaired after cardiac surgery. TXA induces a multifold increase in clot resistance to fibrinolysis but does not affect clot formation or clot stability. Monitoring the level of resistance to fibrinolysis may prevent overdosing in particular in patients with impaired renal function.",2016,"['Tang, Mariann', 'Wierup, Per', 'Rea, Catherine J', 'Ingerslev, Jrgen', 'Hjortdal, Vibeke E', 'Srensen, Benny']"
Investigation of a link between raised levels of pepsinogen in blood as a mediator of in-vitro clot lysis in acid and a cause of abnormal factor XIII screening tests.,"The in-vitro lysis of plasma clots in acetic acid generally indicates a Factor XIII deficiency that is confirmed by quantitative assay. However, there are two rare, poorly understood circumstances whereby clot lysis in acid occurs when factor XIII activity levels are normal: the presence of either an atypical antifactor XIII antibody, or an unknown acid-activated protease. Our centre has identified four patients with in-vitro clot lysis in acetic acid and normal FXIII levels by activity assay. Our aim was to determine whether the cause of this unusual result was an inhibitory antibody or an aspartic acid protease. In each case, we found an inhibitor that was not an IgG but showed characteristics of an acid protease, including that it was neutralized by pepstatin. The four patients had median pepsinogen I levels five-fold to 10-fold higher than the normal median of 89 μg/l. Pepsinogen II was increased by three-fold to six-fold, but from a lower baseline median of 6.5 μg/l. Cathepsin D levels were normal. Clot lysis in the acid test was observed when recombinant human pepsinogen I was added to normal plasma at similarly high concentrations as in patient samples, consistent with a role of an acid protease. Clot lysis also occurred with addition of pepsinogen II, but required four-fold to seven-fold more than in patient samples. Laboratories should be aware that a positive acid clot lysis test can be misleading if pepsinogen levels are raised and should not use this alone to diagnose FXIII deficiency.",2014,"['Duncan, Elizabeth M', 'Dale, Brian J', 'Lloyd, John V']"
"EspP, an Extracellular Serine Protease from Enterohemorrhagic E. coli, Reduces Coagulation Factor Activities, Reduces Clot Strength, and Promotes Clot Lysis.","EspP (E. coli secreted serine protease, large plasmid encoded) is an extracellular serine protease produced by enterohemorrhagic E. coli (EHEC) O157:H7, a causative agent of diarrhea-associated Hemolytic Uremic Syndrome (D+HUS). The mechanism by which EHEC induces D+HUS has not been fully elucidated. We investigated the effects of EspP on clot formation and lysis in human blood. Human whole blood and plasma were incubated with EspP(WT )at various concentrations and sampled at various time points. Thrombin time (TT), prothrombin time (PT), and activated partial thromboplastin time (aPTT), coagulation factor activities, and thrombelastgraphy (TEG) were measured.",2016,"['Kuo, Kevin H M', 'Khan, Shekeb', 'Rand, Margaret L', 'Mian, Hira S', 'Brnjac, Elena', 'Sandercock, Linda E', 'Akula, Indira', 'Julien, Jean-Philippe', 'Pai, Emil F', 'Chesney, Alden E']"
Efficacy and spatial distribution of ultrasound-mediated clot lysis in the absence of thrombolytics.,"Ultrasound and microbubble (MB) contrast agents accelerate clot lysis, yet clinical trials have been performed without defining optimal acoustic conditions. Our aim was to assess the effect of acoustic pressure and frequency on the extent and spatial location of clot lysis. Clots from porcine blood were created with a 2-mm central lumen for infusion of lipid-shelled perfluorocarbon MBs (1×10(7) ml(-1)) or saline. Therapeutic ultrasound at 0.04, 0.25, 1.05, or 2.00 MHz was delivered at a wide range of peak rarefactional acoustic pressure amplitudes (PRAPAs). Ultrasound was administered over 20 minutes grouped on-off cycles to allow replenishment of MBs. The region of lysis was quantified using contrast-enhanced ultrasound imaging. In the absence of MBs, sonothrombolysis did not occur at any frequency. Sonothrombolysis was also absent in the presence of MBs despite their destruction at 0.04 and 2.00 MHz. It occurred at 0.25 and 1.05 MHz in the presence of MBs for PRAPAs > 1.2 MPa and increased with PRAPA. At 0.25 MHz the clot lysis was located in the far wall. At 1.05 MHz, however, there was a transition from far to near wall as PRAPA was increased. The area of clot lysis measured by ultrasound imaging correlated with that by micro-CT and quantification of debris in the effluent. In conclusion, sonothrombolysis with MBs was most efficient at 0.25 MHz. The spatial location of sonothrombolysis varies with pressure and frequency indicating that the geometric relation between therapeutic probe and vascular thrombosis is an important variable for successful lysis clinically.",2015,"['Ammi, Azzdine Y', 'Lindner, Jonathan R', 'Zhao, Yan', 'Porter, Thomas', 'Siegel, Robert', 'Kaul, Sanjiv']"
Increased plasma clot permeability and susceptibility to lysis are associated with heavy menstrual bleeding of unknown cause: a case-control study.,"Formation of compact and poorly lysable clots has been reported in thromboembolic disorders. Little is known about clot properties in bleeding disorders. We hypothesized that more permeable and lysis-sensitive fibrin clots can be detected in women with heavy menstrual bleeding (HMB). We studied 52 women with HMB of unknown cause and 52 age-matched control women. Plasma clot permeability (Ks), turbidity and efficiency of fibrinolysis, together with coagulation factors, fibrinolysis proteins, and platelet aggregation were measured. Women with HMB formed looser plasma fibrin clots (+16% [95%CI 7-18%] Ks) that displayed lower maximum absorbancy (-7% [95%CI -9 - -1%] ΔAbsmax), and shorter clot lysis time (-17% [95%CI -23 - -11%] CLT). The HMB patients and controls did not differ with regard to coagulation factors, fibrinogen, von Willebrand antigen, thrombin generation markers and the proportion of subjects with defective platelet aggregation. The patients had lower platelet count (-12% [95%CI -19 - -2%]), tissue plasminogen activator antigen (-39% [95%CI -41 - -29%] tPA:Ag), and plasminogen activator inhibitor-1 antigen (-28% [95%CI -38 - -18%] PAI-1:Ag) compared with the controls. Multiple regression analysis upon adjustment for age, body mass index, glucose, and fibrinogen showed that decreased tPA:Ag and shortened CLT were the independent predictors of HMB.",2015,"['Szczepaniak, Piotr', 'Zabczyk, Michał', 'Undas, Anetta']"
Short-term effect of infliximab is reflected in the clot lysis profile of patients with inflammatory bowel disease: a prospective study.,"Inflammatory bowel disease (IBD) is recognized as an independent risk factor for thrombosis. First, we investigate whether the concentration of fibrinolysis inhibitors is increased in patients with IBD. Second, we investigate the effect of infliximab induction therapy on the hemostatic profile. This prospective study included 103 patients with IBD starting infliximab therapy and 113 healthy controls. Plasma was collected before the first infliximab infusion (wk 0) and after induction therapy (wk 14). Patients not showing a clinical response on induction were considered as primary nonresponders. Fibrinolysis inhibitors were measured by enzyme-linked immunosorbent assay. Using a clot lysis assay, the area under the curve (global marker for coagulation/fibrinolysis), 50% clot lysis time (marker for fibrinolytic capacity), and amplitude (indicator for clot formation) were determined. Patients with IBD selected for infliximab treatment have higher area under the curve (median 29 [interquartile range, 20-38]) and amplitude (0.4 [0.3-0.5]) compared with healthy controls (18 [13-24] and 0.3 [0.2-0.3], respectively, P < 0.001). Primary nonresponders showed a decrease neither in inflammatory markers nor in hemostatic parameters, whereas in primary responders, a decrease in inflammatory markers was associated with a decrease in both area under the curve (29 [20-38] (wk 0) to 20 [14-28] (wk 14), P < 0.001) and amplitude (0.4 [0.3-0.5] (wk 0) to 0.3 [0.3-0.4] (wk 14), P < 0.001).",2015,"['Bollen, Lize', 'Vande Casteele, Niels', 'Peeters, Miet', 'Bessonov, Kyrylo', 'Van Steen, Kristel', 'Rutgeerts, Paul', 'Ferrante, Marc', 'Hoylaerts, Marc F', 'Vermeire, Severine', 'Gils, Ann']"
