Title,Excerpt,Year,Authors,URL,Citations
Selective Clot Lysis with Low-Dose Streptokinase 1,"In a series of 17 treated patients, inlying selective catheters were used to perfuse streptokinase just above or directly into obstructing intra-arterial thromboemboli. Fresh clots readily dissolved with doses as low as l/100th of those given intravenously to cause a  ...",1974,"CT Dotter, J Rösch, AJ Seaman ",http://pubs.rsna.org/doi/pdf/10.1148/111.1.31,520
Plasma TAFI levels influence the clot lysis time in healthy individuals in the presence of an intact intrinsic pathway of coagulation,"Summary Thrombin Activatable Fibrinolysis Inhibitor (TAFI) is a recently identified fibrinolysis inhibitor in plasma, that when converted to an enzyme potently attenuates fibrinolysis. It is activated by relatively high concentrations of thrombin that exceed the thrombin  ...",1998,"LO Mosnier, PAK von dem Borne… ",http://th.schattauer.de/en/contents/archive/issue/920/manuscript/4686/show.html,215
Isolation and characterization of alpha2-plasmin inhibitor from human plasma. A novel proteinase inhibitor which inhibits activator-induced clot lysis.,Abstract A procedure is presented for purifying a novel proteinase inhibitor in human plasma whose apparent unique biological property is to inhibit efficiently the lysis of fibrin clots induced by plasminogen activator. The final product is homogeneous as judged by disc  ...,1976,"M Moroi, N Aoki ",http://www.jbc.org/content/251/19/5956.short,550
Microbubble administration accelerates clot lysis during continuous 2-MHz ultrasound monitoring in stroke patients treated with intravenous tissue  …,"Background and Purpose—We sought to evaluate the effects of administration of microbubbles (MBs) on the beginning, speed, and degree of middle cerebral artery (MCA) recanalization during systemic thrombolysis and continuous 2-MHz pulsed-wave  ...",2006,"CA Molina, M Ribo, M Rubiera, J Montaner… ",http://stroke.ahajournals.org/content/37/2/425.short,426
Effective and fibrin-specific clot lysis by a zymogen precursor form of urokinase (pro-urokinase). A study in vitro and in two animal species.,"Abstract. A single-chain 55,000-mol wt form of urokinase (UK), similar to that previously isolated from urine, was purified from a transformed kidney cell culture medium and characterized; and its fibrinolytic properties were evaluated. The preparation immunopre- ...",1984,"V Gurewich, R Pannell, S Louie, P Kelley… ",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC437085/,311
Development of an in vitro model to study clot lysis activity of thrombolytic drugs,"Background Thrombolytic drugs are widely used for the management of cerebral venous sinus thrombosis patients. Several in vitro models have been developed to study clot lytic activity of thrombolytic drugs, but all of these have certain limitations. There is need of an  ...",2006,"S Prasad, RS Kashyap… ",http://thrombosisjournal.biomedcentral.com/articles/10.1186/1477-9560-4-14,208
Ultra-early clot aspiration after lysis with tissue plasminogen activator in a porcine model of intracerebral hemorrhage: edema reduction and blood-brain barrier  …,"Object. Ultra-early hematoma evacuation (< 4 hours) after intracerebral hemorrhage (ICH) may reduce mass effect and edema development and improve outcome. To test this hypothesis, the authors induced lobar hematomas in pigs. Methods. The authors infused  ...",1999,"KR Wagner, G Xi, Y Hua, M Zuccarello… ",http://thejns.org/doi/abs/10.3171/jns.1999.90.3.0491,258
Speed of Intracranial Clot Lysis With Intravenous Tissue Plasminogen Activator Therapy Sonographic Classification and Short-Term Improvement,"Methods and Results—Transcranial Doppler (TCD) and the National Institutes of Health Stroke Scale (NIHSS) were used to monitor consecutive patients receiving intravenous tissue plasminogen activator (tPA), before tPA bolus and at 24 hours. Patients with complete or partial  ... ",2001,"AV Alexandrov, WS Burgin, AM Demchuk… ",http://circ.ahajournals.org/content/103/24/2897.short,263
The lysis of artificially induced intravascular clots in man by intravenous infusions of streptokinase,MATERIALS AND METHODS Induction of standard thrombus. The blunt tip of a coarse dental broach 1 was soldered in the end of a two inch No. 21 needle2 after the point had been cut off at right angles to the needle shaft (Figure 1). The broach was introduced into  ...,1959,"AJ Johnson, WR McCarty ",http://www.ncbi.nlm.nih.gov/pmc/articles/PMC293294/,245
Mechanism of protein C-dependent clot lysis: role of plasminogen activator inhibitor,"Abstract The mechanism by which activated protein C stimulates fibrinolysis was studied in a simple radiolabeled clot lysis assay system containing purified tissue-type plasminogen activator, bovine endothelial plasminogen activator inhibitor (PAI), plasminogen, 125I- ...",1986,"Y Sakata, DJ Loskutoff, CL Gladson, CM Hekman… ",http://www.bloodjournal.org/content/68/6/1218.short,202
Clot lysis by gastric juice: an in vitro study.,Abstract Gastric juice from patients with peptic ulcer disease and from patients with no upper gastrointestinal abnormality was studied in order to assess its effect on a formed fibrin clot. In both groups of patients gastric juice caused a marked increase in fibrinolysis as  ...,1989,"SE Patchett, H Enright, N Afdhal, W O'Connell… ",http://gut.bmj.com/content/30/12/1704.abstract,145
