Title,Excerpt,Year,Authors,URL,Citations
Plasminogen receptors: ubiquitous sites for cellular regulation of fibrinolysis,,1988,"LA Miles, EF Plow ",,163
Structure of plasminogen activator inhibitor 1 (PAI-1) and its function in fibrinolysis: an update,Recent evidence has certified that plasminogen activator inhibitor 1 (PAI-1) is a major regulatory protein of the fibrinolytic system in vivo. It rapidly inactivates both tissue-type (t-PA) and urokinase-type plasminogen activator (u-PA). PAI-1 belongs to the serine  ...,1995,"M Van Meijer, H Pannekoek ",http://www.sciencedirect.com/science/article/pii/S0268949995800158,146
Leiden fibrinolysis working party: blood collection and handling procedures for assessment of tissue-type plasminogen activator (t-PA) and plasminogen activator  …,Abstract Procedures of blood collection and handling are different for the various variables in haemostasis and tend to change gradually with progress in knowledge and methods. The Working Party has gathered background information about procedures and discussed  ...,1990,"C Kluft, JH Verheijen ",http://www.sciencedirect.com/science/article/pii/0268949990903973,84
On the regulation and control of fibrinolysis. Edward Kowalski Memorial Lecture.,... 1980 Jun 18;43(2):77-89. On the regulation and control of fibrinolysis. Edward Kowalski MemorialLecture. ... MeSH Terms. Fibrinolysin/antagonists & inhibitors; Fibrinolysis*; FibrinolyticAgents/therapeutic use; Humans; Plasminogen/metabolism; Plasminogen Activators/metabolism ...,1980,D Collen ,http://www.ncbi.nlm.nih.gov/pubmed/6450468,1332
Lipoprotein (a) modulation of endothelial cell surface fibrinolysis and its potential role in atherosclerosis,ENDOTHELIAL cells play a critical role in thromboregulation by virtue of a surface-connected fibrinolytic system. Cultured endothelial cells synthesize and secrete tissue-type plasminogen activator (t-PA) 1 which can bind to at least two discrete sites on the cell  ...,1989,"KA Hajjar, D Gavishi, JL Breslow, RL Nachman ",http://www.nature.com/nature/journal/v339/n6222/abs/339303a0.html,703
"Thrombin, thrombomodulin and TAFI in the molecular link between coagulation and fibrinolysis.",The thrombin thrombomodulin dependent activation of the plasma protein TAFI (Thrombin Activatable Fibrinolysis Inhibitor) and Subsequent Inhibition of Fibrinolysis by the TAFIa is described. Work to date indicates that TAFIa is a carboxypeptidase B enzyme that  ...,1997,"M Nesheim, W Wang, M Boffa… ",http://europepmc.org/abstract/med/9198184,282
Fibrinolysis and fibrinolytic activity in man,"ECENT INTEREST IN FIBRINOLYTIC PHENOMENA stems from promising de-R velopments in fibrinolytic therapy for thromboembolic disease, and the suggestion that impaired fibrinolytic mechanisms may underly the pathogenesis of atherosclerosis. Although  ...",1959,"S Sherry, AP Fletcher, N Alkjaersig ",http://physrev.physiology.org/content/39/2/343.short,415
Molecular mechanism of physiological fibrinolysis,"THE proteolytic enzyme system in blood that is predominantly responsible for removal of fibrin deposits, is called the fibrinolytic system. This system consists of three main components: the proenzyme plasminogen, which can be activated by limited proteolysis to  ...",1978,"B Wiman, D Collen ",http://www.nature.com/nature/journal/v272/n5653/abs/272549a0.html,405
"Purification and characterization of TAFI, a thrombin-activable fibrinolysis inhibitor",Abstract Previous studies demonstrated that tissue plasminogen activator-induced fibrinolysis in vitro is retarded in the presence of prothrombin (II) activation and that the anticoagulant-activated protein C appears profibrinolytic by preventing the formation of  ...,1995,"L Bajzar, R Manuel, ME Nesheim ",http://www.jbc.org/content/270/24/14477.short,735
Primary angioplasty versus prehospital fibrinolysis in acute myocardial infarction: a randomised study,"BACKGROUND: Although both prehospital fibrinolysis and primary angioplasty provide a clinical benefit over in-hospital fibrinolysis in acute myocardial infarction, they have not been directly compared. Our aim was to find out whether primary angioplasty was better than  ...",2002,"E Bonnefoy, F Lapostolle, A Leizorovicz, G Steg… ",http://www.sciencedirect.com/science/article/pii/S0140673602099634,616
Impact of time to treatment on mortality after prehospital fibrinolysis or primary angioplasty data from the CAPTIM randomized clinical trial,"Background—CAPTIM was a randomized trial comparing prehospital thrombolysis with transfer to an interventional facility (and, if needed, percutaneous intervention) with primary percutaneous coronary intervention (PCI) in patients with ST-segment-elevation  ...",2003,"PG Steg, E Bonnefoy, S Chabaud, F Lapostolle… ",http://circ.ahajournals.org/content/108/23/2851.short,714
Basic and clinical aspects of fibrinolysis and thrombolysis,"LOOD CONTAINS an enzymatic system called the B fibrinolytic system, one of the main functions of which is the dissolution of fibrin clots in the blood vessels. The fibrinolytic system comprises a proenzyme, plasminogen, which can be converted to the active enzyme  ...",1991,"D Collen, HR Lijnen ",http://scholar.google.com/https://www.researchgate.net/profile/Henri_Lijnen/publication/21412268_Basic_and_clinical_aspects_of_fibrinolysis_and_thrombolysis/links/0deec529dcebf3eabd000000.pdf,716
The relationship between impaired fibrinolysis and coronary heart disease: a role for PAI-1,Abstract Several studies have evaluated the possible relationship between deficient fibrinolysis and ischaemic heart disease. Case-control and cross-sectional studies in patients with angiographically proved coronary disease have shown a significant increase  ...,1994,"E Rocha, JA Paramo ",http://www.sciencedirect.com/science/article/pii/0268949994900183,62
Lipoprotein (a): the link between impaired fibrinolysis and atherosclerosis,,1991,"JM Edelberg, SV Pizzo ",,63
Enoxaparin versus unfractionated heparin with fibrinolysis for ST-elevation myocardial infarction,"Background Unfractionated heparin is often used as adjunctive therapy with fibrinolysis in patients with ST-elevation myocardial infarction. We compared a low-molecular-weight heparin, enoxaparin, with unfractionated heparin for this purpose.",2006,"EM Antman, DA Morrow, CH McCabe… ",http://www.nejm.org/doi/full/10.1056/NEJMoa060898,711
"Interleukin-6 stimulates coagulation, not fibrinolysis, in humans.",The role of IL-6 as a mediator of haemostatic changes during severe inflammation is controversial. To assess the effect of IL-6 on haemostasis we conducted a controlled cross-over study in eight patients with metastatic renal cell cancer. In all subjects coagulation  ...,1996,"JM Stouthard, M Levi, CE Hack… ",http://europepmc.org/abstract/med/8950783,255
