Title,Excerpt,Year,Authors,URL,Citations
Accuracy of perfusion-CT inpredicting malignant middle cerebral artery brain infarction,"... Treatment, n (%) Intra-arterial thrombolysis 2 (10) 2 (2) 0.16 ... Hong SC (2004) Multiphasic helicalcomputed tomography predicts sub- sequent development of severe brain edema in ... SS, LeeKH, Lee SJ, Chung CS, Choi DS (2004) Malig- nant middle cerebral artery infarction in ...",2008,"R Dittrich, SP Kloska, T Fischer, E Nam, MA Ritter… ",http://link.springer.com/article/10.1007/s00415-008-0802-1,39
ADMA increases arterial stiffness and decreases cerebral blood flow in humans,"... x, GE) with a deconvolution algorithm. Parenchymal enhancement in the braintissue was deconvolved pixel by pixel from the arterial input in the middlecerebral artery. The deconvolution algorithm is based on ...",2006,"JT Kielstein, F Donnerstag, S Gasper, J Menne… ",http://stroke.ahajournals.org/content/37/8/2024.short,183
Improved phase-contrast flow quantification by three-dimensional vessel localization,"... This technique constructs the brain arterial tree automatically based on MRA images. ... facilitateperpendicular cuts during scanning and to distinguish specific arterial branches during ... left middlecerebral artery, M1 segment; LM2 = left middle cerebral artery, M2 segment; LPCOM ...",2000,"M Zhao, FT Charbel, N Alperin, F Loth… ",http://www.sciencedirect.com/science/article/pii/S0730725X00001570,113
Investigations of flow and pressure distributions in physical model of the circle of Willis,"... of the anterior cerebral arteries, M2—post-communicating segments of the middle cerebral arteries,P2—post-communicating segments of the posterior cerebral arteries. ... The transparent phantom ofbrain-supplying arteries used in the experiments consisted of two parts ...",2005,"K Cieslicki, D Ciesla ",http://www.sciencedirect.com/science/article/pii/S0021929004005093,49
"Visualization of hemodynamics in a silicon aneurysm model using time-resolved, 3D, phase-contrast MRI","... C, 2D velocity vector field traversing the M1 segment and two M2 segments of right ... We obtainedtime-resolved 3D streamlines of the intracranial aneurysm and adjacent arteries (Figs 2 ... whenwe generated them in the aneurysm and the M1 segment of the middle cerebral artery. ...",2006,"H Isoda, M Hirano, H Takeda… ",http://www.ajnr.org/content/27/5/1119.short,47
Use of a dynamic bubble trap in the arterial line reduces microbubbles during cardiopulmonary bypass and microembolic signals in the middle cerebral artery,"... During the complete period of CPB, for the detection of HITS, the middle cerebral artery wasmonitored ... 15 Mitchel S, Gorman D. The pathophysiology of cerebral arterial gas embolism. ...Cardiopulmonary bypass affects cognitive brain function after coronary artery bypass grafting. ...",2005,"M Perthel, S Kseibi, A Bendisch, J Laas ",http://prf.sagepub.com/content/20/3/151.short,19
"Direct vein graft reconstruction of the cavernous, petrous, and upper cervical internal carotid artery: lessons learned from 30 cases","... The authors report a series of 30 patients who underwent reconstruction of the internal carotidartery (ICA) at the skull base with the saphenous vein ... Two of these patients failed a clinical balloontest occlusion of the ICA, and, in 9 patients, cerebral blood flow during balloon test ...",1992,"C Sen, LN Sekhar ","http://journals.lww.com/neurosurgery/Abstract/1992/05000/Direct_Vein_Graft_Reconstruction_of_the_Cavernous,.14.aspx",126
"TIMI, TIBI, TICI: i came, I saw, I got confused",... but then the final core laboratory analysis reported patency of the middle cerebral artery (MCA)M1 ... standardize reporting of flow restoration and described a thrombolysis in cerebral infarction(TICI ... A thrombolysis in brain ischemia (TIBI) score has been derived for a transcranial ...,2007,T Tomsick ,http://www.ajnr.org/content/28/2/382.short,97
Computed tomographic angiography and perfusion in the diagnosis of brain death,"... phenomenon has been already described as “stasis filling,” which means very slow blood flowthrough arteriovenous shortcuts without effective brain perfusion ... Second, we noted weakopacification of the middle (M2 or M3 segment) and anterior cerebral arteries (A2 segment ...",2010,"R Bohatyrewicz, M Sawicki, A Walecka… ",http://www.sciencedirect.com/science/article/pii/S0041134510015654,25
Wall shear stress calculations in space–time finite element computation of arterial fluid–structure interactions,"... In the structural mechanics part, as a boundary condition at the ends of the arteries, we set the ...3 A bifurcating middle cerebral artery segment with aneurysm ... volumes also showed that the resultsobtained with different numbers of elements across the arterial wall were very close ...",2010,"K Takizawa, C Moorman, S Wright, J Christopher… ",http://link.springer.com/article/10.1007/s00466-009-0425-0,95
Space–time finite element computation of arterial fluid–structure interactions with patient‐specific data,"... In the structural mechanics part, as boundary condition at the ends of the arteries, we set thenormal component of the displacement to zero, and for one of those nodes we also set to zerothe tangential ... A bifurcating middle cerebral artery segment with aneurysm. ... Arterial volume ...",2010,"K Takizawa, J Christopher… ",http://onlinelibrary.wiley.com/doi/10.1002/cnm.1241/full,109
Computational hemodynamics in cerebral aneurysms: the effects of modeled versus measured boundary conditions,"... equation in a distributed model of the main human systemic arteries including the main arteriesof the ... a flat velocity profile was applied, in line with our recent finding.30 Arterial walls were ... flowrate variation as high as 1 mL/s at the level of middle cerebral artery level between ...",2011,"A Marzo, P Singh, I Larrabide, A Radaelli… ",http://link.springer.com/article/10.1007/s10439-010-0187-z,52
Cerebral pressure-flow velocity relationship during hypothermic cardiopulmonary bypass in neonates and infants.,"... In nine of our patients we observed an immediate loss of detectable CBFV in the middle cerebralartery when CPP de- creased to ... The relationship between brain ... study the TCD monitor was usedto mea- sure flow velocity in a single vessel, the middle cerebral artery, the largest ...",1992,"RH Taylor, FA Burrows, B Bissonnette ",http://journals.lww.com/anesthesia-analgesia/Abstract/1992/05000/Cerebral_Pressure_Flow_Velocity_Relationship.3.aspx,50
Length of occlusion predicts recanalization and outcome after intravenous thrombolysis in middle cerebral artery stroke,"... density of the MCA higher than that of the surrounding brain, disappearance on ... CT angiography(CTA) with poor filling of peripheral branches of middle cerebral artery behind M1 ... BaselineCharacteristics of 80 Patients With Medial Cerebral Artery Occlusion Stroke in Context of ...",2014,"V Rohan, J Baxa, R Tupy, L Cerna, P Sevcik, M Friesl… ",http://stroke.ahajournals.org/content/45/7/2010.short,23
