Title,Excerpt,Year,Authors,URL,Citations
Estrogen reduces myogenic tone through a nitric oxide-dependent mechanism in rat cerebral arteries,"... the brain is protected against hypoxia during low arterial pressures and against brain edemaand ... A 1- to 2-mm segment of the middle cerebral artery, taken about 2 mm from the ... The proximalcannula was connected through a pressure transducer and windkessel to a reservoir ...",1998,"GG Geary, DN Krause… ",http://ajpheart.physiology.org/content/275/1/H292.short,151
Transcranial color Doppler sonography of basal cerebral arteries in 182 healthy subjects: age and sex variability and normal reference values for blood flow  …,"... to age of early 40s and by definite linear reduction in older subjects. Whole brain velocity (Vmean)one sixth of mean values of anterior, middle, and posterior cerebral arteries' mean velocities. y=75 - O.36x r= -.46. A A A A A I .4 1.2 A #{149}01.0 A C a. 0.8 E C 0.6 ...",1999,"J Krejza, Z Mariak, J Walecki, P Szydlik… ",http://www.ajronline.org/doi/abs/10.2214/ajr.172.1.9888770,132
Melatonin directly constricts rat cerebral arteries through modulation of potassium channels,"... The proximal cannula was connected through a pressure transducer and windkessel to a PSSreservoir ... when binding sites for melatonin were iden- tified in the medial layer of ... Melatonin directlyof middle cerebral constricted artery, but pressurized segments the responses were ...",1997,"GG Geary, DN Krause… ",http://ajpheart.physiology.org/content/273/3/H1530.short,87
"Reduced modelling of blood flow in the cerebral circulation: coupling 1-D, 0-D and cerebral auto-regulation models","... b W * * A , U ( ) 0−D model 1−D domain t A , U out Q in Q in P R1 R2 out P C P C f W t x t + t ∆LL Figure 2: (left) Notation for the Riemann problem. (middle) RCR windkessel model depictedusing the electric analogy. ... 2.3 The cerebral auto-regulation model ...",2008,"J Alastruey, SM Moore, KH Parker… ",http://wwwf.imperial.ac.uk/ssherw/bioflow/people/Jordi_Alastruey/Figs/CoW_Autoreg.pdf,71
Transfer function analysis of dynamic cerebral autoregulation in humans,"... beat-to-beat changes in mean arterial pressure (MAP) and mean cerebral (middle cerebral artery)blood flow ... 27), the time delay between the finger arterial pressure and cerebral arterial pressureshould ... arterial pressure is likely to be proportional or identical in arteries of similar ...",1998,"R Zhang, JH Zuckerman, CA Giller… ",http://ajpheart.physiology.org/content/274/1/H233.short,596
Cerebral hemodynamics,"... blood pressure variations as well as the overall optimization and tuning of brain blood flow ... bedis mainly governed by resistive, and less by compliance or ""Windkessel"" effects (see ... 7 A showsthe angiograms of a patient with severe (78%) stenosis of the middle cerebral artery. ...",1986,"R Aaslid, KF Lindegaard ",http://link.springer.com/chapter/10.1007/978-3-7091-8864-4_5,247
Simulated microgravity increases myogenic tone in rat cerebral arteries,... CO 2 for 90 s. Brains were rapidly removed from the cranial cavity and ... The proximal cannula wasconnected through a pressure transducer and windkessel to a reservoir ... have found thatACh-induced vasodilation of myogenically reactive rat middle cerebral arteries is inhibited ...,1998,"GG Geary, DN Krause, RE Purdy… ",http://jap.physiology.org/content/85/5/1615.short,66
Gonadal hormones affect diameter of male rat cerebral arteries through endothelium-dependent mechanisms,"... Brains were rapidly removed from the cranial cavity and placed in a dissecting dish with cold ... A1- to 2-mm segment of the middle cerebral artery, taken about 1 mm from the ... The proximal cannulawas connected through a pressure transducer and windkessel to a reservoir of ...",2000,"GG Geary, DN Krause… ",http://ajpheart.physiology.org/content/279/2/H610.short,75
Modelling the circle of Willis to assess the effects of anatomical variations and occlusions on cerebral flows,"... Each ICA bifurcates to form a middle cerebral artery (MCA) and an anterior cerebral artery (ACA)to perfuse the ... anastomose into the basilar artery, which divides into the right and left posteriorcerebral arteries (PCAs) to deliver blood to the regions of the brain stem (posterior ...",2007,"J Alastruey, KH Parker, J Peiró, SM Byrd… ",http://www.sciencedirect.com/science/article/pii/S0021929006002946,294
Contribution of arterial Windkessel in low-frequency cerebral hemodynamics during transient changes in blood pressure,... to maintain the optimal insonation position for the acquisition of middle cerebral artery (MCA)flow ... The lumped parameter Windkessel model for the cerebral arterial bed (Fig. ... The relativelylarge and distensible cerebral arteries are expected to be the primary source of C AI (19 ...,2011,"GSH Chan, PN Ainslie, CK Willie… ",http://jap.physiology.org/content/110/4/917.short,24
Transcranial Doppler ultrasonography in the determination of brain death.,"... The Windkessel effect permits a small degree of anterograde blood flow during systole ... Thereis persistence of an increased pulse pressure with mid-diastolic antero- grade flow ... Powell S, RuttD, Browse NL: Transcranial doppler measurement of middle cerebral artery blood flow ...",1989,"AD Powers, MC Graeber, RR Smith ",http://journals.lww.com/neurosurgery/Abstract/1989/06000/Transcranial_Doppler_Ultrasonography_in_the.15.aspx,101
Estrogen reduces mouse cerebral artery tone through endothelial NOS-and cyclooxygenase-dependent mechanisms,"... Brains were rapidly removed from the cranial cavity and placed in a dissecting dish with cold ... A1- to 2-mm segment of the middle cerebral artery, taken about 1 mm from the ... The proximal cannulawas connected through a pressure transducer and windkessel to a reservoir of ...",2000,"GG Geary, DN Krause… ",http://ajpheart.physiology.org/content/279/2/H511.short,128
Validation of a one-dimensional model of the systemic arterial tree,"... Distal vessels are terminated with three-element windkessels. ... that is as complete as possible,ie, it incorporates a heart model, it includes a detailed description of the cerebral and coronaryarterial ... Arteries are considered as straight long tapered segments with viscoelastic wall. ...",2009,"P Reymond, F Merenda, F Perren… ",http://ajpheart.physiology.org/content/297/1/H208.short,310
Dynamic pressure–flow relationship of the cerebral circulation during acute increase in arterial pressure,... A three-element Windkessel model was used to reveal the effects of changes in steady-state ... Qm represents beat-to-beat changes in CBF velocity in the middle cerebral artery (MCA ... We assumedthat R a represents the resistance of the large cerebral arteries branching from the ...,2009,"R Zhang, K Behbehani, BD Levine ",http://onlinelibrary.wiley.com/doi/10.1113/jphysiol.2008.168302/full,67
Pulsed Doppler sonographic measurement of normal values for the flow velocities in the intracranial arteries of healthy newborns,"... To measure the flow in the BA sagittal sections through the mid- line are most helpful ... Vs = peaksys- tolic flow velocity (top); Ves=endsystolic flow velocity (middle); Ved=enddiastolic flow ... larabnormalities which can be defined as a leakage of the aortic ""Windkessel"" are truncus ...",1989,"KH Deeg, TH Rupprecht ",http://link.springer.com/article/10.1007/BF02387890,88
Dynamics of cerebral blood flow regulation explained using a lumped parameter model,"... To better understand the cardiovascular response to hypotension, we used a windkessel modelwith ... The present work focuses on the middle cerebral artery (MCA) and its peripheral vascularbed. The MCA is considered a conduit vessel, and the smaller arteries and arterioles ...",2002,"MS Olufsen, A Nadim, LA Lipsitz ",http://ajpregu.physiology.org/content/282/2/R611.short,110
Influence of wall elasticity in patient-specific hemodynamic simulations,"... ACA: the anterior cerebral artery, ACom: the anterior communicating artery, MCA: the middlecerebral artery). ... boundary conditions at the outflow are computed based on the Windkessel model. ...Because we focus on intracranial arteries with relatively large diameters (d ∼ 3 mm ...",2007,"R Torii, M Oshima, T Kobayashi, K Takagi… ",http://www.sciencedirect.com/science/article/pii/S0045793005001374,137
Dynamic pressure–flow velocity relationships in the human cerebral circulation,"... We shall also mention an interesting possibility: if the peripheral windkessel effect had the samenumerical ... Dynamic pressure-flow relationships of brain blood flow in the monkey. ... Lundar T, WibergJ, Sjøberg D, Aaslid R, Nornes H. Variations in middle cerebral artery blood flow ...",2003,"R Aaslid, SR Lash, GH Bardy, WH Gild, DW Newell ",http://stroke.ahajournals.org/content/34/7/1645.short,114
Modelling of fluid–structure interactions with the space–time finite elements: Arterial fluid mechanics,"... The pressure profile, as a function of time, is obtained from an approximate solution [38] of theWind- kessel model [54 ... The parameters in the Windkessel model are set in such a way that therange for the pressure ... Middle cerebral artery with aneurysm—bifurcating-artery segment ...",2007,"TE Tezduyar, S Sathe, T Cragin… ",http://onlinelibrary.wiley.com/doi/10.1002/fld.1443/full,164
Computer modeling of cardiovascular fluid–structure interactions with the deforming-spatial-domain/stabilized space–time formulation,"... A saccular aneurysm on the middle cerebral artery. ... the blood flow and the arterial wall motion,the results are compared with those from computations with rigid arterial walls ... The blood flowin cerebral arteries is assumed to be laminar [4], and it is governed by the Navier–Stokes ...",2006,"R Torii, M Oshima, T Kobayashi, K Takagi… ",http://www.sciencedirect.com/science/article/pii/S0045782505003117,159
Physiology of cerebral venous blood flow: from experimental data in animals to normal function in humans,"... middle ophthalmid veins), anterior middle cranial fossa drainage (superior and inferior middlecerebral veins) and ... of Rosenthal represents the confluence of veins draining basal and medialparts of ... Venous outflow from the SSS and deep cerebral veins is usually directed via ...",2004,B Schaller ,http://www.sciencedirect.com/science/article/pii/S0165017304000530,162
Space–time finite element computation of arterial fluid–structure interactions with patient‐specific data,"... notational convenience we introduce another set of coefficients, Bk ∈C. The pressure, basedon the Windkessel model, can ... In the structural mechanics part, as boundary condition at the endsof the arteries, we set the ... A bifurcating middle cerebral artery segment with aneurysm. ...",2010,"K Takizawa, J Christopher… ",http://onlinelibrary.wiley.com/doi/10.1002/cnm.1241/full,109
Cerebrovascular dynamics of autoregulation and hypoperfusion an MRI study of CBF and changes in total and microvascular cerebral blood volume during  …,"... Accordingly, we modeled the cerebral circulation using active arteriolar resistance elements with ...venous compartments with constant resistance and compliance, following conventional windkesseltheory. ... volume changes is efficient and especially adaptive in the brain, in which ...",1999,"G Zaharchuk, JB Mandeville, AA Bogdanov… ",http://stroke.ahajournals.org/content/30/10/2197.short,125
Wall shear stress calculations in space–time finite element computation of arterial fluid–structure interactions,"... function of time, is deter- mined based on the flow rate using the Windkessel model [67 ... structuralmechanics part, as a boundary condition at the ends of the arteries, we set ... extracted from thecomputed tomography model of a bifurcating segment of the middle cerebral artery of a ...",2010,"K Takizawa, C Moorman, S Wright, J Christopher… ",http://link.springer.com/article/10.1007/s00466-009-0425-0,95
