title,abstract,date,authors,link,eid
Bidirectional functions of thrombin on fibrinolysis: Evidence of thrombin-dependent enhancement of fibrinolysis provided by spontaneous plasma clot lysis,"AbstractBesides procoagulant activity, thrombin exhibits anticoagulant and profibrinolytic activities. We demonstrated that the euglobulin clot lysis time (ECLT) was shortened by endogenously generated thrombin as a result of the inactivation of plasminogen activator inhibitor type 1 (PAI-1). In contrast, thrombin suppressed fibrinolytic activity through the activation of thrombin activatable fibrinolysis inhibitor (TAFI). Here, using three different clot lysis assays of the ECLT, the tissue plasminogen activator supplemented plasma clot lysis time (tPA-PCLT) and the spontaneous plasma clot lysis time (s-PCLT), we analyzed how the coagulation process modifies fibrinolysis. The ECLT was shortened by exogenously supplemented thrombin in a dose-dependent manner in the absence of calcium ion (Ca++), whereas this shortening was not observed in the presence of Ca++ where endogenous prothrombin was effectively activated to thrombin. This shortening was also not observed for the tPA-PCLT, in which tPA is supplemented in excess and PAI-1 activity is mostly lost. On the contrary, thrombin dose-dependently prolonged the tPA-PCLT, which was mostly abolished by inhibitors of carboxypeptidase and activated FXIII, suggesting that the prolongation is TAFI- and Factor XIII-dependent. The s-PCLT was shortened when thrombin generation was boosted by supplementing tissue factor and phosphatidylserine together with Ca++, which was more apparent in the presence of inhibitors of activated FXIII and activated TAFI. Thus, thrombin appeared to express its enhancing effect on fibrinolysis even in plasma, in addition to its inhibiting effect. These bidirectional functions of thrombin on fibrinolysis seem to take place on demand under different environments to maintain adequate vascular blood flow.",July 2016,"{'author': [{'given-name': 'Martyna', '@_fa': 'true', 'surname': 'Tomczyk'}, {'given-name': 'Yuko', '@_fa': 'true', 'surname': 'Suzuki'}, {'given-name': 'Hideto', '@_fa': 'true', 'surname': 'Sano'}, {'given-name': 'Tomasz', '@_fa': 'true', 'surname': 'Brzoska'}, {'given-name': 'Hiroki', '@_fa': 'true', 'surname': 'Tanaka'}, {'given-name': 'Tetsumei', '@_fa': 'true', 'surname': 'Urano'}]}",http://api.elsevier.com/content/article/pii/S0049384816303164,1-s2.0-S0049384816303164
The association of clot lysis time with total obesity is partly independent from the association of PAI-1 with central obesity in African adults,"AbstractIntroductionPreliminary evidence indicates that the association of fibrinolytic potential, measured as clot lysis time (CLT), with body composition may differ from that of plasminogen activator inhibitor type-1 (PAI-1). We therefore investigated the association between fibrinolytic markers (plasminogen activator inhibitor type-1 activity (PAI-1act) and CLT) and body composition using detailed body composition analyses.Materials and methodsData from 1288 Africans were cross-sectionally analyzed. Body composition analysis included BMI, waist circumference (WC); waist to height ratio (WHtR), skinfolds and body fat percentage measured with air-displacement plethysmography and bioelectrical impedance analysis.ResultsPAI-1act and CLT were significantly higher in women than in men, despite adjustment for differences in body composition. PAI-1act and CLT showed similar linear positive relationships with body composition (BMI, WC, WHtR, skinfolds) in men. In women CLT also showed a linear relationship with body composition, while PAI-1act levels plateaued at higher BMI and did not differ across skinfold categories. PAI-1act showed stronger correlations with body composition markers in men than it did in women, while no sex differences existed for CLT. PAI-1act associated more strongly with central obesity, while CLT associated with total body fat.ConclusionsObserved differences may be related to differences in adipose tissue type, distribution and sequence of accumulation between sexes. PAI-1act is strongly influenced by accumulation of visceral adipose tissue, whereas CLT is associated with obesity independent of type and sequence of body fat accumulation in this African adult study population.",August 2015,"{'author': [{'given-name': 'Philna', '@_fa': 'true', 'surname': 'Eksteen'}, {'given-name': 'Marlien', '@_fa': 'true', 'surname': 'Pieters'}, {'given-name': 'Zelda', '@_fa': 'true', 'surname': 'de Lange'}, {'given-name': 'Herculina S.', '@_fa': 'true', 'surname': 'Kruger'}]}",http://api.elsevier.com/content/article/pii/S0049384815300086,1-s2.0-S0049384815300086
Purification and characterization of a novel C-type hemolytic lectin for clot lysis from the fresh water clam Villorita cyprinoides: A possible natural thrombolytic agent against myocardial infarction,"AbstractVillorita cyprinoides (black clam) is a fresh water clam that belongs as a bivalve to the group of mollusc. The saline extracts from the muscle reveal high titers of agglutination potency on trypsin-treated rabbit erythrocytes. With the help of affinity chromatography a hemolytic protein with lectin activity which could all be inhibited by d-galactose were isolated. The lectins were separated on DEAE-cellulose and the main component was purified after an additional step of gel filtration on sephadex G-75. The main component is a non-glycosylated protein with a molecular weight of 96,560 Da determined by MALDI-ToF, consisting of a single protein chain and characterized by the lack of polymers and intermediate disulfide bonds. The pure main lectin with clot lytic feature shows two bands at molecular weights 36,360 and 26, 520 Da. Optimal inhibition of the pure lectin is achieved by d-galactose containing oligo- and polysaccharides. The lectin activity decreased above 40 °C and was lost at 62 °C, the stability over the pH range between 7.0 and 8.0 and requires divalent cations for their activity. The novel C-type hemolytic lectin for clot lysis from the clam Villorita cyprinoides was identified and evaluated, the purified hemolytic lectin (0.35 mg/ml and 0.175 mg/ml) enhanced clot lysis activity when compared to the different concentration (5 mg/ml and 1 mg/ml) of commercial streptokinase. In the present study identified hemolytic lectin was a rapid and effective clot lytic molecule and could be developed as new drug molecule in future.",February 2014,"{'author': [{'given-name': 'G.R. Learnal', '@_fa': 'true', 'surname': 'Sudhakar'}, {'given-name': 'S.G. Prakash', '@_fa': 'true', 'surname': 'Vincent'}]}",http://api.elsevier.com/content/article/pii/S1050464813008620,1-s2.0-S1050464813008620
Sonothrombolysis: The Contribution of Stable and Inertial Cavitation to Clot Lysis,"AbstractMicrobubble-mediated sonothrombolysis (STL) is a remarkable approach to vascular occlusion therapy. However, STL remains a complex process with multiple interactions between clot, ultrasound (US), microbubbles (MB) and thrombolytic drug. The aim of this study was to evaluate the ability of combining US and MB to degrade fibrin and, more specifically, to assess the roles of both stable (SC) and inertial (IC) cavitation. Human blood clots containing radiolabeled fibrin were exposed to different combinations of recombinant tissue plasminogen activator (rtPA), US (1 MHz) and phospholipid MB. Three acoustic pressures were tested: 200, 350 and 1,300 kPa (peak-negative pressure). Clot lysis was assessed by diameter loss and release of radioactive fibrin degradation products. The combination rtPA + US + MB clearly revealed that IC (1,300 kPa) was able to enhance fibrin degradation significantly (66.3 ± 1.8%) compared with rtPA alone (51.7 ± 2.0%, p &lt; 0.001). However, SC failed to enhance fibrin degradation at an acoustic pressure of 200 kPa. At 350 kPa, a synergistic effect between rtPA and US + MB was observed with an absolute increase of 6% compared to rtPA alone (p &lt; 0.001). Conversely, without rtPA, the combination of US + MB was unable to degrade the fibrin network (0.3 ± 0.1%, p &gt; 0.05 vs. control), but induced a distinct loss of red blood cells throughout the entire thickness of the clot, implying that MB were able to penetrate and cavitate inside the clot.",May 2015,"{'author': [{'given-name': 'B.', '@_fa': 'true', 'surname': 'Petit'}, {'given-name': 'Y.', '@_fa': 'true', 'surname': 'Bohren'}, {'given-name': 'E.', '@_fa': 'true', 'surname': 'Gaud'}, {'given-name': 'P.', '@_fa': 'true', 'surname': 'Bussat'}, {'given-name': 'M.', '@_fa': 'true', 'surname': 'Arditi'}, {'given-name': 'F.', '@_fa': 'true', 'surname': 'Yan'}, {'given-name': 'F.', '@_fa': 'true', 'surname': 'Tranquart'}, {'given-name': 'E.', '@_fa': 'true', 'surname': 'Allémann'}]}",http://api.elsevier.com/content/article/pii/S0301562914008011,1-s2.0-S0301562914008011
"Interconnectedness of global hemostasis assay parameters in simultaneously evaluated thrombin generation, fibrin generation and clot lysis in normal plasma","AbstractBackgroundFluorogenic thrombin generation (TG) assays and turbidity-based fibrin generation (FG)- and fibrinolysis (FL)-resistance assays have been sought to assess bleeding and clotting disorders. Theoretically, TG, FG and FL tests should provide overlapping information because thrombin is responsible for FG and induces protection from FL. The relationships between TG, FG and FL parameters remain poorly investigated, partly because existing experimental systems do not permit simultaneous detection of both TG and FG in the same sample of plasma, and are instead tested in separate experiments.Objectives and methodsWe evaluated the potential benefits of a combined TG/FG/FL assay by testing responses of normal plasma to a wide range of tissue factor (TF) and tissue plasminogen activator (tPA) concentrations. Correlations between multiple parameters extracted from the TG and FG/FL curves were also compared.ResultsRate of FG correlated well with TG peak height at all TF concentrations, but correlations between TG and FL parameters depended on the TF concentration. Without thrombomodulin, all FG/FL parameters at high TF could be predicted from TG parameters and no FL protection was observed. With thrombomodulin and high TF, TF-dependent FL protection did not correlate with TF-dependent TG. The fluorogenic thrombin substrate did not interfere with optical density readings, and meaningful tPA concentrations did not interfere with TG readings.ConclusionsIn normal plasma, TG, FG and FL parameters may provide interchangeable information. Evaluation of FL-resistance may provide additional data under special assay conditions, but the value of this information should be studied under disease conditions.",April 2016,"{'author': [{'given-name': 'Kevin Z.', '@_fa': 'true', 'surname': 'Xin'}, {'given-name': 'William C.', '@_fa': 'true', 'surname': 'Chang'}, {'given-name': 'Mikhail V.', '@_fa': 'true', 'surname': 'Ovanesov'}]}",http://api.elsevier.com/content/article/pii/S0049384815301997,1-s2.0-S0049384815301997
Fibrinolytic PLGA nanoparticles for slow clot lysis within abdominal aortic aneurysms attenuate proteolytic loss of vascular elastic matrix,"AbstractAbdominal aortic aneurysms (AAAs) involve chronic overexpression of proteases in the aortic wall that result in disruption of elastic fibers and consequent loss of vessel elasticity. Nearly 75% of AAAs contain flow-obstructing, fibrin-rich intraluminal thrombi (ILT), which act as a) a bioinert shield, protecting the underlying AAA wall from high hemodynamic stresses, and b) a reservoir of inflammatory cells and proteases that cause matrix breakdown. For these reasons, restoring flow through the aorta lumen and facilitating transmural diffusion of therapeutics from circulation to the AAA wall must be achieved by slow thrombolysis of the ILT to render it porous without rapid breakdown. Intravenously dosed tissue plasminogen activator (tPA) has been shown to rapidly lyse ILTs in acute stroke and myocardial infarctions. For future use in opening up AAA segments, in this study, we investigated the ability of tPA released from poly(lactic-co-glycolic acid) nanoparticles (PLGA NPs) to slowly lyse fibrin clots without inducing proteolytic injury and matrix synthesis-inhibitory effects on cultured rat aneurysmal smooth muscle cells (EaRASMCs). Fibrin clot lysis time was greatly extended over that in presence of exogenous tPA. Surface functionalization of NPs with a cationic amphiphile allowed them to bind to anionic fibrin clot, release tPA at a slower rate and to lyse the clot as a front proceeding outwards in unlike the more rapid and homogenous lysis that occurred due to anionic PLGA NPs. Elastic matrix content was decreased in EaRASMC cultures exposed to byproducts of clot lysis with exogenous tPA, but not tPA-NPs, and was likely due to increased proteolytic activity (MMPs, plasmin) in EaRASMC cultures exposed to exogenous tPA-lysed clots. Our results suggest that gradual ILT lysis via slow release of tPA from NPs will be likely beneficial over exogenous tPA delivery in preserving elastic matrix content and attenuating matrilysis in the adjoining AAA wall, in vivo, while rendering the ILT porous to facilitate transmural delivery of endoluminally delivered AAA therapeutics.",1 February 2016,"{'author': [{'given-name': 'Balakrishnan', '@_fa': 'true', 'surname': 'Sivaraman'}, {'given-name': 'Andrew', '@_fa': 'true', 'surname': 'Sylvester'}, {'given-name': 'Anand', '@_fa': 'true', 'surname': 'Ramamurthi'}]}",http://api.elsevier.com/content/article/pii/S0928493115303829,1-s2.0-S0928493115303829
Clot lysis time and thrombin activatable fibrinolysis inhibitor in severe preeclampsia with or without associated antiphospholipid antibodies,"AbstractWe investigated clot lysis time, thrombin activatable fibrinolysis inhibitor antigen (TAFI) levels and TAFI gene polymorphisms in pregnant patients with severe preeclampsia, with or without associated antiphospholipid syndrome (APS). The study groups included 82 pregnant patients without antiphospholipid antibodies with severe preeclampsia (PE group) and 10 pregnant APS patients who developed severe preeclampsia (APS-PE group). Controls included 76 primary pregnant APS patients (APS group) and 89 healthy pregnant patients (NOR group) with uneventful term pregnancy and delivery. Patients in the APS-PE, APS and NOR groups were sampled during each trimester of pregnancy and at 4–6 months and 12 months after delivery. Patients in the PE group were sampled during the third trimester and after delivery. Significantly prolonged clot lysis time after delivery was found in the PE, APS-PE and APS groups compared to the NOR group. The PE and APS-PE groups had longer clot lysis time than the APS group. Levels of TAFI were found to be higher after delivery in patients of the PE and APS-PE groups compared to the APS and NOR groups. Allele distribution of the TAFI gene polymorphisms was similar among the four study groups. We conclude that increased TAFI antigen levels and impaired fibrinolysis are pathogenetic factors in preeclampsia, regardless of whether or not preeclampsia is associated with the presence of antiphospholipid antibodies.",November 2010,"{'author': [{'given-name': 'M. Angeles', '@_fa': 'true', 'surname': 'Martínez-Zamora'}, {'given-name': 'Dolors', '@_fa': 'true', 'surname': 'Tassies'}, {'given-name': 'Francisco', '@_fa': 'true', 'surname': 'Carmona'}, {'given-name': 'Gerard', '@_fa': 'true', 'surname': 'Espinosa'}, {'given-name': 'Ricard', '@_fa': 'true', 'surname': 'Cervera'}, {'given-name': 'Juan Carlos', '@_fa': 'true', 'surname': 'Reverter'}, {'given-name': 'Juan', '@_fa': 'true', 'surname': 'Balasch'}]}",http://api.elsevier.com/content/article/pii/S0165037810000951,1-s2.0-S0165037810000951
Suramin inhibits antibody binding to cell surface antigens and disrupts complement-mediated mesangial cell lysis,"AbstractSuramin inhibits immune responses and protects cells against inflammatory cell injury. However, little is known about its mechanisms. Using an in vitro model of glomerular mesangial cell (MC) lysis induced by antibodies plus complement, we investigated the potential protective effects and mechanisms of suramin on immunologic cell injury. Exposure of rat MCs to anti-Thy-1 antibody plus complement or anti-MC rabbit serum caused complement-dependent cell lysis, which was blocked by suramin and its structural analogue NF023 and NF049, but not by PPADS, an antagonist of purinergic receptors. Addition of exogenous ATP also failed to affect MC lysis. Further analysis revealed that suramin interfered with antibody binding to cell membrane antigens and suppressed antibody-induced phosphorylation of several proteins, including p38. Inhibition of p38 with chemical inhibitor significantly attenuated cell injury. Collectively, our results indicate that suramin protects cells against antibody-initiated and complement-dependent cell injury through inhibition of antibody binding to cell surface antigens and suppression of p38 activation. Our study thus provides novel mechanistic insights into the actions of suramin and suggests that suramin might be used to treat certain immune diseases.",Available online 30 March 2016,"{'author': [{'given-name': 'Honglan', '@_fa': 'true', 'surname': 'Piao'}, {'given-name': 'Yuan', '@_fa': 'true', 'surname': 'Chi'}, {'given-name': 'Xiling', '@_fa': 'true', 'surname': 'Zhang'}, {'given-name': 'Zhen', '@_fa': 'true', 'surname': 'Zhang'}, {'given-name': 'Kun', '@_fa': 'true', 'surname': 'Gao'}, {'given-name': 'Manabu', '@_fa': 'true', 'surname': 'Niimi'}, {'given-name': 'Manabu', '@_fa': 'true', 'surname': 'Kamiyama'}, {'given-name': 'Jinming', '@_fa': 'true', 'surname': 'Zhang'}, {'given-name': 'Masayuki', '@_fa': 'true', 'surname': 'Takeda'}, {'given-name': 'Jian', '@_fa': 'true', 'surname': 'Yao'}]}",http://api.elsevier.com/content/article/pii/S1347861316300056,1-s2.0-S1347861316300056
Tumour lysis syndrome: A rare acute presentation of locally advanced testicular cancer – Case report and review of literature,"AbstractTumour lysis syndrome (TLS) is a potentially fatal complication of malignancy or its treatment. This uncommon syndrome comprises laboratory findings of hyperuricaemia, hypocalcaemia, hyperkalaemia and hyperphosphataemia. A literature search revealed a total of eight patients, with testicular cancer, who had TLS. All these patients had metastatic disease. We present a unique case of a 47-year-old gentleman we saw in clinic, who presented with a rapidly growing right groin mass and acute breathlessness, and discuss the diagnosis and management of TLS. TLS is extremely rare in testicular cancer but necessitates the awareness of urologists. TLS can occur spontaneously in testicular malignancy. Cell lysis in a rapidly proliferating germ cell tumour is a possible mechanism. The prompt identification and institution of management for TLS is crucial to improve clinical outcomes.",January 2016,"{'author': [{'given-name': 'Marcus', '@_fa': 'true', 'surname': 'Chow'}, {'given-name': 'Arianto', '@_fa': 'true', 'surname': 'Yuwono'}, {'given-name': 'Ronny', '@_fa': 'true', 'surname': 'Tan'}]}",http://api.elsevier.com/content/article/pii/S2214388215001137,1-s2.0-S2214388215001137
Reduced Plasma Fibrin Clot Permeability and Susceptibility to Lysis Are Associated With Increased Risk of Post-Thrombotic Syndrome,,October 2016,"{'author': [{'given-name': 'J.', '@_fa': 'true', 'surname': 'Siudut'}, {'given-name': 'M.', '@_fa': 'true', 'surname': 'Grela'}, {'given-name': 'E.', '@_fa': 'true', 'surname': 'Wypasek'}]}",http://api.elsevier.com/content/article/pii/S2213333X16300919,1-s2.0-S2213333X16300919
