title,abstract,date,authors,link,eid
Can the Windkessel Hypothesis Explain Delayed Intraparenchymal Haemorrhage After Flow Diversion? A Case Report and Model-Based Analysis of Possible Mechanisms,"BackgroundDelayed ipsilateral intraparenchymal haemorrhage is a recently recognised complication after endovascular flow diversion for intracranial aneurysms. Although the mechanism of this phenomenon is not understood, one proposed explanation (the windkessel hypothesis) is that removal of aneurysmal compliance increases distal pulse pressure.MethodsWe present a case of delayed haemorrhage after placement of a Pipeline stent, discuss the proposed mechanisms, and describe a novel electrical analogue model that was used to evaluate the likely haemodynamic effect of stent placement.ResultsModel-based analysis suggests that stenting is not likely to produce a significant change in distal pulse pressure. Moreover, basic fluid dynamics principles suggest that a local reduction in disturbed flow in the region of the aneurysm could produce only a minor increase in distal pressure (a few mmHg), which is unlikely to be the main cause of the observed haemorrhage.ConclusionThe windkessel hypothesis is unlikely to explain the occurrence of delayed ipsilateral intraparenchymal haemorrhage after flow diversion; however, other mechanisms involving altered haemodynamics distal to the treated aneurysm may play a role. Further studies involving the assessment of haemodynamic changes after flow diversion would be useful to understand, and eventually mitigate, this currently unpredictable risk.",August 2015,"{'author': [{'given-name': 'Alim P.', '@_fa': 'true', 'surname': 'Mitha'}, {'given-name': 'Jonathan P.', '@_fa': 'true', 'surname': 'Mynard'}, {'given-name': 'John A.', '@_fa': 'true', 'surname': 'Storwick'}, {'given-name': 'Zaher I.', '@_fa': 'true', 'surname': 'Shivji'}, {'given-name': 'John H.', '@_fa': 'true', 'surname': 'Wong'}, {'given-name': 'William', '@_fa': 'true', 'surname': 'Morrish'}]}",http://api.elsevier.com/content/article/pii/S1443950615000736,1-s2.0-S1443950615000736
S3.4 A Windkessel model description of cerebral autoregulation in Alzheimer's disease: increased vascular resistance and lowered compliance,,June 2011,"{'author': [{'given-name': 'E.D.', '@_fa': 'true', 'surname': 'Gommer'}, {'given-name': 'E.G.H.J.', '@_fa': 'true', 'surname': 'Martens'}, {'given-name': 'P.', '@_fa': 'true', 'surname': 'Aalten'}, {'given-name': 'F.', '@_fa': 'true', 'surname': 'Verhey'}, {'given-name': 'I.', '@_fa': 'true', 'surname': 'Ramakers'}, {'given-name': 'W.H.', '@_fa': 'true', 'surname': 'Mess'}, {'given-name': 'J.P.H.', '@_fa': 'true', 'surname': 'Reulen'}]}",http://api.elsevier.com/content/article/pii/S1388245711600163,1-s2.0-S1388245711600163
Evaluation of blood flow velocity waveform in common carotid artery using multi-branched arterial segment model of human arteries,"AbstractArteriosclerosis is considered to be a major cause of cardiovascular diseases, which account for approximately 30% of the causes of death in the world. We have recently demonstrated a strong correlation between arteriosclerosis (arterial elasticity) and two characteristics: maximum systolic velocity (S1) and systolic second peak velocity (S2) of the common carotid artery flow velocity waveform (CCFVW). The CCFVW can be measured by using a small portable measuring device. However, there is currently no theoretical evidence supporting the causes of the relation between CCFVW and arterial elasticity, or the origin of the CCFVW characteristics. In this study, the arterial blood flow was simulated using a one-dimensional systemic arterial segments model of human artery in order to conduct a qualitative evaluation of the relationship between arterial elasticity and the characteristics of CCFVW. The simulation was carried out based on the discretized segments with the physical properties of a viscoelastic tube (the cross-sectional area at the proximal and terminal ends, the length, and the compliance per unit area of the tube (CS)). The findings obtained through this study revealed that the simulated CCFVW had shape similar characteristics to that of the measured CCFVW. Moreover, when the compliance CS of the model was decreased, the first peak of the simulated-CCFVW decreased and the second peak increased. Further, by separating the anterograde pulse wave and the reflected pulse wave, which form the CCFVW, we found that the decrease in the first peak of the simulated CCFVW was due to the arrival of a reflected pulse wave from the head after the common carotid artery toward the arrival of a anterograde pulse wave ejected directly from the heart and that the increase in the second peak resulted from the arrival of the peak of the reflected pulse wave from the thoracic aorta. These results establish that the CCFVW characteristics contribute to the assessment of arterial elasticity.",November 2013,"{'author': [{'given-name': 'M.', '@_fa': 'true', 'surname': 'Masuda'}, {'given-name': 'T.', '@_fa': 'true', 'surname': 'Emoto'}, {'given-name': 'A.', '@_fa': 'true', 'surname': 'Suzuki'}, {'given-name': 'M.', '@_fa': 'true', 'surname': 'Akutagawa'}, {'given-name': 'T.', '@_fa': 'true', 'surname': 'Kitawaki'}, {'given-name': 'K.', '@_fa': 'true', 'surname': 'Kitaoka'}, {'given-name': 'H.', '@_fa': 'true', 'surname': 'Tanaka'}, {'given-name': 'S.', '@_fa': 'true', 'surname': 'Obara'}, {'given-name': 'K.', '@_fa': 'true', 'surname': 'Yoshizaki'}, {'given-name': 'S.', '@_fa': 'true', 'surname': 'Konaka'}, {'given-name': 'Y.', '@_fa': 'true', 'surname': 'Kinouchi'}]}",http://api.elsevier.com/content/article/pii/S1746809413000797,1-s2.0-S1746809413000797
Notions d’hémodynamique et techniques ultrasonores pour l’exploration des artères,N/A,June 2005,"{'author': [{'given-name': 'Ph.', '@_fa': 'true', 'surname': 'Bonnin'}, {'given-name': 'R.', '@_fa': 'true', 'surname': 'Fressonnet'}]}",http://api.elsevier.com/content/article/pii/S0221036305814179,1-s2.0-S0221036305814179
Carotid artery hemodynamics before and after stenting: A patient specific CFD study,"AbstractQuantitative assessment of the hemodynamic impact of carotid artery stenting (CAS) represents an important ingredient to understand the CAS long-term outcomes, which are still a matter of clinical debate. Although computational fluid dynamics (CFD) has been extensively used for the biomechanical analysis of carotid arteries in healthy and stenotic conditions, there are few contributions in the literature dealing with post-stenting conditions because (i) current medical images do not have sufficient resolution to accurately reconstruct the stent geometry, and (ii) the generation of a body-fitted mesh of the stent-artery configuration is cumbersome. Motivated by these considerations, the present study proposes a numerical approach able to implicitly account for the stent geometry in the post-operative patient-specific hemodynamic CFD analysis by introducing velocity penalty terms in the weak form of the equations governing blood flow in arteries. Such an approach allows us to compare different patient-specific CAS scenarios, ranging from a healthy carotid to a post-stenting configuration after the treatment of a severe stenosis, and paves the way for rapid CFD-based investigations of the hemodynamic impact of novel endovascular devices with complex grid designs. Test computations as well as patient-specific CAS simulations are presented in this paper, with good results obtained in all cases.",15 December 2016,"{'author': [{'given-name': 'Michele', '@_fa': 'true', 'surname': 'Conti'}, {'given-name': 'Chris', '@_fa': 'true', 'surname': 'Long'}, {'given-name': 'Michele', '@_fa': 'true', 'surname': 'Marconi'}, {'given-name': 'Raffaella', '@_fa': 'true', 'surname': 'Berchiolli'}, {'given-name': 'Yuri', '@_fa': 'true', 'surname': 'Bazilevs'}, {'given-name': 'Alessandro', '@_fa': 'true', 'surname': 'Reali'}]}",http://api.elsevier.com/content/article/pii/S0045793016301001,1-s2.0-S0045793016301001
Hemodynamic characterization of geometric cerebral aneurysm templates,"AbstractHemodynamics are currently considered to a lesser degree than geometry in clinical practices for evaluating cerebral aneurysm (CA) risk and planning CA treatment. This study establishes fundamental relationships between three clinically recognized CA geometric factors and four clinically relevant hemodynamic responses. The goal of the study is to develop a more combined geometric/hemodynamic basis for informing clinical decisions. Flows within eight idealized template geometries were simulated using computational fluid dynamics and measured using particle image velocimetry under both steady and pulsatile flow conditions. The geometric factor main effects were then analyzed to quantify contributions made by the geometric factors (aneurysmal dome size (DS), dome-to-neck ratio (DNR), and parent-vessel contact angle (PV-CA)) to effects on the hemodynamic responses (aneurysmal and neck-plane root-mean-square velocity magnitude (Vrms), aneurysmal wall shear stress (WSS), and cross-neck flow (CNF)). Two anatomical aneurysm models were also examined to investigate how well the idealized findings would translate to more realistic CA geometries. DNR made the greatest contributions to effects on hemodynamics including a 75.05% contribution to aneurysmal Vrms and greater than 35% contributions to all responses. DS made the next greatest contributions, including a 43.94% contribution to CNF and greater than 20% contributions to all responses. PV-CA and several factor interactions also made contributions of greater than 10%. The anatomical aneurysm models and the most similar idealized templates demonstrated consistent hemodynamic response patterns. This study demonstrates how individual geometric factors, and combinations thereof, influence CA hemodynamics. Bridging the gap between geometry and flow in this quantitative yet practical way may have potential to improve CA evaluation and treatment criteria. Agreement among results from idealized and anatomical models further supports the potential for a template-based approach to play a useful role in clinical practice.",26 July 2016,"{'author': [{'given-name': 'Priya', '@_fa': 'true', 'surname': 'Nair'}, {'given-name': 'Brian W.', '@_fa': 'true', 'surname': 'Chong'}, {'given-name': 'Aprinda', '@_fa': 'true', 'surname': 'Indahlastari'}, {'given-name': 'James', '@_fa': 'true', 'surname': 'Lindsay'}, {'given-name': 'David', '@_fa': 'true', 'surname': 'DeJeu'}, {'given-name': 'Varsha', '@_fa': 'true', 'surname': 'Parthasarathy'}, {'given-name': 'Justin', '@_fa': 'true', 'surname': 'Ryan'}, {'given-name': 'Haithem', '@_fa': 'true', 'surname': 'Babiker'}, {'given-name': 'Christopher', '@_fa': 'true', 'surname': 'Workman'}, {'given-name': 'L. Fernando', '@_fa': 'true', 'surname': 'Gonzalez'}, {'given-name': 'David', '@_fa': 'true', 'surname': 'Frakes'}]}",http://api.elsevier.com/content/article/pii/S0021929015006764,1-s2.0-S0021929015006764
Characteristics of Cerebral Hemodynamics in Patients with Ischemic Leukoaraiosis and New Ultrasound Indices of Ischemic Leukoaraiosis,"ObjectiveThe diagnosis of ischemic leukoaraiosis (ILA) is based on head magnetic resonance imaging (MRI) and exclusion of other causes of white matter hyperintensities (WMHs). Recent studies have shown increased arterial stiffness and diminished carotid flow in ILA patients. So far, there are very little data on intracerebral hemodynamic parameters in ILA. Due to the specific structure of the intracranial arteries, our aim was to investigate intracerebral hemodynamic parameters in ILA patients and, possibly, to find a reliable ultrasound index of combined intra- and extracranial cerebral arteries.MethodsWe compared different hemodynamic parameters in the middle cerebral artery (MCA) and local carotid stiffness parameters in 53 ILA patients to 40 gender and risk factor-matched controls with normal head MRI. The ILA diagnosis was based on head MRI and exclusion of other causes of WMH. In addition, we introduced new ischemic leukoariosis indices (ILAi) that are ratios of carotid stiffness parameters and MCA mean blood flow velocity. The diagnostic significance of ILAi for the prediction of ILA was analyzed.ResultsWe found significantly lower diastolic, systolic, and mean MCA blood flow velocities and increased carotid stiffness in the ILA group (P ≤ .05). All ILAi significantly differed between the groups (P &lt; .05), were significantly associated with ILA (P &lt; .01), and were sensitive and specific for predicting ILA (P &lt; .05).ConclusionMCA blood flow velocities in ILA patients are lower compared to risk factor-matched controls. A combination of lower velocities and increased carotid stiffness represented as ILAi could have a potential diagnostic value for ILA.",April 2016,"{'author': [{'given-name': 'Monika', '@_fa': 'true', 'surname': 'Turk'}, {'given-name': 'Marjan', '@_fa': 'true', 'surname': 'Zaletel'}, {'given-name': 'Janja', '@_fa': 'true', 'surname': 'Pretnar Oblak'}]}",http://api.elsevier.com/content/article/pii/S1052305716000124,1-s2.0-S1052305716000124
Wavelet transform analysis to assess oscillations in pial artery pulsation at the human cardiac frequency,"AbstractPial artery adjustments to changes in blood pressure (BP) may last only seconds in humans. Using a novel method called near-infrared transillumination backscattering sounding (NIR-T/BSS) that allows for the non-invasive measurement of pial artery pulsation (cc-TQ) in humans, we aimed to assess the relationship between spontaneous oscillations in BP and cc-TQ at frequencies between 0.5Hz and 5Hz. We hypothesized that analysis of very short data segments would enable the estimation of changes in the cardiac contribution to the BP vs. cc-TQ relationship during very rapid pial artery adjustments to external stimuli.BP and pial artery oscillations during baseline (70s and 10s signals) and the response to maximal breath-hold apnea were studied in eighteen healthy subjects. The cc-TQ was measured using NIR-T/BSS; cerebral blood flow velocity, the pulsatility index and the resistive index were measured using Doppler ultrasound of the left internal carotid artery; heart rate and beat-to-beat systolic and diastolic blood pressure were recorded using a Finometer; end-tidal CO2 was measured using a medical gas analyzer. Wavelet transform analysis was used to assess the relationship between BP and cc-TQ oscillations.The recordings lasting 10s and representing 10cycles with a frequency of ~1Hz provided sufficient accuracy with respect to wavelet coherence and wavelet phase coherence values and yielded similar results to those obtained from approximately 70cycles (70s). A slight but significant decrease in wavelet coherence between augmented BP and cc-TQ oscillations was observed by the end of apnea.Wavelet transform analysis can be used to assess the relationship between BP and cc-TQ oscillations at cardiac frequency using signals intervals as short as 10s. Apnea slightly decreases the contribution of cardiac activity to BP and cc-TQ oscillations.",May 2015,"{'author': [{'given-name': 'P.J.', '@_fa': 'true', 'surname': 'Winklewski'}, {'given-name': 'M.', '@_fa': 'true', 'surname': 'Gruszecki'}, {'given-name': 'J.', '@_fa': 'true', 'surname': 'Wolf'}, {'given-name': 'E.', '@_fa': 'true', 'surname': 'Swierblewska'}, {'given-name': 'K.', '@_fa': 'true', 'surname': 'Kunicka'}, {'given-name': 'M.', '@_fa': 'true', 'surname': 'Wszedybyl-Winklewska'}, {'given-name': 'W.', '@_fa': 'true', 'surname': 'Guminski'}, {'given-name': 'J.', '@_fa': 'true', 'surname': 'Zabulewicz'}, {'given-name': 'A.F.', '@_fa': 'true', 'surname': 'Frydrychowski'}, {'given-name': 'L.', '@_fa': 'true', 'surname': 'Bieniaszewski'}, {'given-name': 'K.', '@_fa': 'true', 'surname': 'Narkiewicz'}]}",http://api.elsevier.com/content/article/pii/S0026286215000308,1-s2.0-S0026286215000308
A parameter estimation framework for patient-specific hemodynamic computations,"AbstractWe propose a fully automated parameter estimation framework for performing patient-specific hemodynamic computations in arterial models. To determine the personalized values of the windkessel models, which are used as part of the geometrical multiscale circulation model, a parameter estimation problem is formulated. Clinical measurements of pressure and/or flow-rate are imposed as constraints to formulate a nonlinear system of equations, whose fixed point solution is sought. A key feature of the proposed method is a warm-start to the optimization procedure, with better initial solution for the nonlinear system of equations, to reduce the number of iterations needed for the calibration of the geometrical multiscale models. To achieve these goals, the initial solution, computed with a lumped parameter model, is adapted before solving the parameter estimation problem for the geometrical multiscale circulation model: the resistance and the compliance of the circulation model are estimated and compensated.The proposed framework is evaluated on a patient-specific aortic model, a full body arterial model, and multiple idealized anatomical models representing different arterial segments. For each case it leads to the best performance in terms of number of iterations required for the computational model to be in close agreement with the clinical measurements.",15 January 2015,"{'author': [{'given-name': 'Lucian', '@_fa': 'true', 'surname': 'Itu'}, {'given-name': 'Puneet', '@_fa': 'true', 'surname': 'Sharma'}, {'given-name': 'Tiziano', '@_fa': 'true', 'surname': 'Passerini'}, {'given-name': 'Ali', '@_fa': 'true', 'surname': 'Kamen'}, {'given-name': 'Constantin', '@_fa': 'true', 'surname': 'Suciu'}, {'given-name': 'Dorin', '@_fa': 'true', 'surname': 'Comaniciu'}]}",http://api.elsevier.com/content/article/pii/S0021999114007165,1-s2.0-S0021999114007165
Patients With Heart Failure With Reduced Ejection Fraction Have Exaggerated Reductions in Cerebral Blood Flow During Upright Posture∗,,February 2015,"{'author': [{'given-name': 'William K.', '@_fa': 'true', 'surname': 'Cornwell'}, {'given-name': 'Benjamin D.', '@_fa': 'true', 'surname': 'Levine'}]}",http://api.elsevier.com/content/article/pii/S2213177914004442,1-s2.0-S2213177914004442
