Title,Excerpt,Year,Authors,URL,Citations
Abdominal aortic aneurysm,"Modern treatment of abdominal aortic aneurysms began in Paris on March 29, 1951, when Dubost performed the first successful aortic resection for aneurysm 1. The following year American vascular surgeons duplicated Dubost's feat and established aortic  ...",1993,CB Ernst ,http://www.nejm.org/doi/pdf/10.1056/NEJM199304223281607,847
Abdominal aortic aneurysm,Abdominal aortic aneurysms cause 1· 3% of all deaths among men aged 65–85 years in developed countries. These aneurysms are typically asymptomatic until the catastrophic event of rupture. Repair of large or symptomatic aneurysms by open surgery or  ...,2005,"N Sakalihasan, R Limet, OD Defawe ",http://www.sciencedirect.com/science/article/pii/S0140673605664598,715
Abdominal aortic aneurysm,,1997,"JA van der Vliet, APM Boll ",,141
Abdominal aortic aneurysm,"Abdominal aortic aneurysm (AAA) is a relatively common and often fatal condition that primarily affects older patients. AAAs and aortic dissections are responsible for at least 15,000 deaths yearly and in 2000 were the 10th leading cause of death in white men 65 to  ...",2006,"GR Upchurch, TA Schaub ",http://scholar.google.com/https://webcampus.med.drexel.edu/Medicine/PDF%20Files/Readings/Web%202006%2002%20Abd%20Pain/Abdominal%20Aortic%20Aner%20AFP%202006.pdf,142
Abdominal aortic aneurysm,"Abstract Between 1981 and 1986, 282 cases of abdominal aortic aneurysm were diagnosed in Waltham Forest. Rupture had occurred in 183, 15 underwent urgent operation for intact aneurysm, and 84 had elective surgery. The incidence of rupture increased from 13 to 21  ...",1988,"PRS Thomas, RD Stewart ",http://onlinelibrary.wiley.com/doi/10.1002/bjs.1800750804/full,121
Abdominal aortic aneurysm,"The Journal of Clinical Hypertension (ISSN 1524-6175) is published monthly by Le Jacq Communications, Inc., Three Parklands Drive, Darien, CT 06820-3652. Copyright© 2004 by Le Jacq Communications, Inc., All rights reserved. No part of this publication may be  ...",2004,"LM Prisant, JS Mondy ",http://onlinelibrary.wiley.com/doi/10.1111/j.1524-6175.2004.02838.x/full,44
Abdominal aortic aneurysm,Infrarenal abdominal aortic aneurysm is generally considered to be a serious disorder. Early studies of patients with abdominal aortic aneurysm by Estes 1 and by Wright and associates 2 indicated that death occurred unpredictably in about half the patients within a year of  ...,1989,"ES Crawford, KR Hess ",http://www.nejm.org/doi/pdf/10.1056/NEJM198910123211509,41
Abdominal aortic aneurysm,Internal Medicine editors develop In the Clinic from these primary sources in collaboration with the ACP's Medical Education and Publishing Division and with the assistance of science writers and physician writers. Editorial consultants from PIER and MKSAP provide  ...,2009,FA Lederle ,http://annals.org/article.aspx?articleid=744470,35
Abdominal aortic aneurysm,"Abdominal aortic aneurysm (AAA) carries a high mortality if left untreated. Until recently, most patients with AAA were treated with surgical repair. However, endoluminal graft treatment is rapidly becoming an alternative to surgical repair due to lower morbidity and  ...",2004,"R KAMINENI, RR HEUSER ",http://onlinelibrary.wiley.com/doi/10.1111/j.1540-8183.2004.04087.x/full,32
Abdominal aortic aneurysms,"Key Clinical Points Abdominal Aortic Aneurysms Abdominal aortic aneurysms are usually asymptomatic until they rupture, with an ensuing mortality of 85 to 90%. Symptomatic patients require urgent repair. US Preventive Services Task Force recommendations  ...",2014,KC Kent ,http://www.nejm.org/doi/full/10.1056/NEJMcp1401430,48
Abdominal aortic aneurysm,"Abstract Abdominal Aortic Aneurysm Abdominal aortic aneurysm is a chronic dilation of the aorta with a natural history toward enlargement and rupture. Its pathogenesis is believed to be multifactorial and complex. Clinical presentation may be asymptomatic, symptomatic,  ...",2001,LA Anderson ,http://journals.lww.com/jcnjournal/Abstract/2001/07000/Abdominal_Aortic_Aneurysm.2.aspx,19
Abdominal aortic aneurysm,A study by Mehta et al assessed the effect of hemodynamic status on outcomes in 136 patients undergoing EVAR for ruptured AAAs. [1] The patients were divided into 2 groups: (1) Hd-stable (systolic BP ≥80 mm Hg; n = 92 [68%]) and (2) Hd-unstable (systolic BP < 80 mm Hg for  ... ,2008,WH Pearce ,http://scholar.google.com/https://archive.is/VnDu1,15
"Comparison of endovascular aneurysm repair with open repair in patients with abdominal aortic aneurysm (EVAR trial 1), 30-day operative mortality results:  …",BACKGROUND: Endovascular aneurysm repair (EVAR) is a new technology to treat patients with abdominal aortic aneurysm (AAA) when the anatomy is suitable. Uncertainty exists about how endovascular repair compares with conventional open surgery. EVAR  ...,2004,"RM Greenhalgh, E The ",http://www.sciencedirect.com/science/article/pii/S0140673604169791,1452
Transfemoral intraluminal graft implantation for abdominal aortic aneurysms,"Abstract This study reports on animal experimentation and initial clinical trials exploring the feasibility of exclusion of an abdominal aortic aneurysm by placement of an intraluminal, stent-anchored, Dacron prosthetic graft using retrograde cannulation of the common  ...",1991,"JC Parodi, JC Palmaz, HD Barone ",http://link.springer.com/article/10.1007/BF02015271,3570
The Multicentre Aneurysm Screening Study (MASS) into the effect of abdominal aortic aneurysm screening on mortality in men: a randomised controlled trial,BACKGROUND: Opposing views have been published on the importance of ultrasound screening for abdominal aortic aneurysms. The Multicentre Aneurysm Screening Study was designed to assess whether or not such screening is beneficial. METHODS: A population- ...,2002,"…, Multicentre Aneurysm Screening Study Group ",http://www.sciencedirect.com/science/article/pii/S0140673602115224,885
Abdominal aortic aneurysms.,Hospital admissions and necropsy studies show that the number of cases of atherosclerotic abdominal aortic aneurysms is increasing. In England an abdominal aneurysm is found in 3% of those over 50 and causes death in 1-5% of cases.'The annual incidence of ruptured  ...,1987,NF Hopkins ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1245856/,24
Transfemoral endovascular repair of abdominal aortic aneurysm: results of the North American EVT phase 1 trial,"Purpose: This report describes the results of a phase 1 trial of endovascular repair of abdominal aortic aneurysm, conducted under FDA protocol in 13 US medical centers from February 1993 to December 1994. Methods: Forty-six patients 54 to 84 years of age  ...",1996,"WS Moore, RB Rutherford, EVT Investigators ",http://www.sciencedirect.com/science/article/pii/S0741521496800322,448
Oxford screening programme for abdominal aortic aneurysm in men aged 65 to 74 years,"Abstract 824 men aged 65 to 74 were invited for ultrasound screening of the aorta and 426 (51· 7%) attended. An abdominal aortic aneurysm was discovered in 23 (5· 4%), and in 10 (2· 3%) the aneurysm was 4· 0 cm or more in diameter. 2 other patients had a common  ...",1988,"J Collin, J Walton, L Araujo, D Lindsell ",http://www.sciencedirect.com/science/article/pii/S0140673688906496,328
Prevalence and associations of abdominal aortic aneurysm detected through screening,Background: Independent risk factors for abdominal aortic aneurysm (AAA) have not been clearly defined in multivariable analyses of large patient populations. Objective: To identify factors that are independently associated with AAA and to determine the prevalence of  ...,1997,"FA Lederle, GR Johnson, SE Wilson… ",http://annals.org/article.aspx?articleid=710383,725
Inflammation and matrix metalloproteinases in the enlarging abdominal aortic aneurysm,"Abstract The risk of rupture of an abdominal aortic aneurysm increases with aortic diameter. To obtain insight into the pathological processes associated with the vascular remodeling that accompanies aortic dilatation, we compared the histological features and the activity  ...",1995,"T Freestone, RJ Turner, A Coady… ",http://atvb.ahajournals.org/content/15/8/1145.short,635
Abdominal aortic aneurysm: a study of one hundred and two cases,"Abstract Data were compiled from the records of 101 cases of abdominal aortic aneurysm, almost all of which were due to arteriosclerosis. These records were selected only when there was unequivocal evidence of aneurysm, and cases of true dissecting aneurysm  ...",1950,JE ESTES ,http://circ.ahajournals.org/content/2/2/258.short,406
Abdominal aortic aneurysm,"Abdominal aortic aneurysm (AAA) is a true aneurysm, meaning a localized dilation of the aorta caused by weakening of its wall, and involving all three layers (intima, media, and adventitia) of the arterial wall (Fig. 86-1). A false aneurysm, or pseudoaneurysm, is a  ...",2002,HA Bessen ,http://www.slremeducation.org/wp-content/uploads/2015/02/Chapter-86.-Abdominal-Aortic-Aneurysm.pdf,12
Abdominal aortic aneurysm expansion risk factors and time intervals for surveillance,Background—Intervention to reduce abdominal aortic aneurysm (AAA) expansion and optimization of screening intervals would improve current surveillance programs. The aim of this study was to characterize AAA growth in a national cohort of patients with AAA both  ...,2004,"AR Brady, SG Thompson, FGR Fowkes… ",http://circ.ahajournals.org/content/110/1/16.short,540
