title,abstract,date,authors,link,eid
Differential expression of sex hormone receptors in abdominal aortic aneurysms,"AbstractObjectiveMale sex is a significant risk factor for abdominal aortic aneurysm (AAA). Female sex hormones have been reported to prevent aneurysm formation in animal models. The study aims to describe the expression profile of sex hormone receptors in the aneurysm wall of men and women with AAA and compare with unaffected controls.MethodsAneurysm wall biopsies were obtained during elective open repair of AAA in men and women (n=16+16). Aortic vessel wall from controls were obtained at organ donation (n=6). Western blot-, mRNA expression- and immunohistochemical analyses were performed to assess the expression profile of the sex hormone receptors – androgen receptor (AR), progesterone receptor (PR), estrogen receptor α (ERα) and β (ERβ).ResultsThe mRNA- and protein expression levels of AR were higher in AAA compared with control aorta (7.26 vs. 5.14, P=0.001). mRNA- and protein expression levels of ERβ were lower in AAA compared with control aorta (9.15 vs. 12.29, P&lt;0.001). mRNA expression levels of PR were higher in AAA compared with control aorta (8.73 vs. 6.21, P=0.003), but could not be confirmed on protein level. The expression profile of sex hormone receptors in men and women with AAA was similar.ConclusionExpression of sex hormone receptors differs in the aneurysmal aorta compared with unaffected aorta in men and women. A higher expression of AR and a lower expression of ERβ suggest that sex hormone activity could be associated with aneurysm development.",February 2017,"{'author': [{'given-name': 'Christina', '@_fa': 'true', 'surname': 'Villard'}, {'given-name': 'Per', '@_fa': 'true', 'surname': 'Eriksson'}, {'given-name': 'Malin', '@_fa': 'true', 'surname': 'Kronqvist'}, {'given-name': 'Mariette', '@_fa': 'true', 'surname': 'Lengquist'}, {'given-name': 'Carl', '@_fa': 'true', 'surname': 'Jorns'}, {'given-name': 'Johan', '@_fa': 'true', 'surname': 'Hartman'}, {'given-name': 'Joy', '@_fa': 'true', 'surname': 'Roy'}, {'given-name': 'Rebecka', '@_fa': 'true', 'surname': 'Hultgren'}]}",http://api.elsevier.com/content/article/pii/S0378512216303371,1-s2.0-S0378512216303371
The beneficial place for the treatment of ruptured abdominal aortic aneurysms,"AbstractObjectiveTo study the beneficial place for the treatment of ruptured abdominal aortic aneurysms (RAAAs).MethodA retrospective chart review of consecutive RAAA patients was performed. Patients were divided into two groups: direct group and transfer group. We retrospectively reviewed patients' hospital charts and recorded various clinical factors apparent on presentation. The primary consequence was mortality during hospitalization, and some other parameters such as duration of intensive care unit (ICU). All patients were followed up at 1 month, 3 months, 6 months and one year after discharge.ResultsDuring 4-year period, 56 RAAA patients were treated (24 in direct group, and 32 in transfer group). Significant differences were shown for systolic blood pressure, pulse oxygen saturation, hemoglobin, the time interval from diagnosis to operation et al. There was no difference concerning age and comorbidity among two groups. All the patients were treated by open surgical aneurysm repair. The mortality rate was 68.8% ((6 + 16)/32) in transfer group and 33.3% (8/24) in direct group (P = 0.00067). Both the duration of ICU stay and entire hospitalization were a bit longer in the transfer group, but there was no significant difference. The mean follow-up time was 25.2 ± 12.9 months. The cumulative survival difference was significant (P = 0.042) between the two groups.ConclusionIt is beneficial that we treat RAAAs in the diagnosed hospital. The reasons are: 1) to avoid the development of unstable state of aneurysm after rupturing of stable state; 2) the time interval from initial symptoms to operation will be shortened.",December 2016,"{'author': [{'given-name': 'Jiehua', '@_fa': 'true', 'surname': 'Qiu'}, {'given-name': 'Weimin', '@_fa': 'true', 'surname': 'Zhou'}, {'given-name': 'Wei', '@_fa': 'true', 'surname': 'Zhou'}, {'given-name': 'Xinhua', '@_fa': 'true', 'surname': 'Tang'}, {'given-name': 'Qingwen', '@_fa': 'true', 'surname': 'Yuan'}, {'given-name': 'Jixin', '@_fa': 'true', 'surname': 'Xiong'}]}",http://api.elsevier.com/content/article/pii/S1743919116309839,1-s2.0-S1743919116309839
Emergent Treatment of A Ruptured Thoraco-Abdominal Aortic Aneurysm by Off-Label Rescue Implantation of the Ovation® Stent-Graft in Nonagenarians Patient,N/A,Available online 28 November 2016,"{'author': [{'given-name': 'Chiara', '@_fa': 'true', 'surname': 'Pranteda'}, {'given-name': 'Pasqualino', '@_fa': 'true', 'surname': 'Sirignano'}, {'given-name': 'Federica', '@_fa': 'true', 'surname': 'Fornelli'}, {'given-name': 'Wassim', '@_fa': 'true', 'surname': 'Mansour'}, {'given-name': 'Nunzio', '@_fa': 'true', 'surname': 'Montelione'}, {'given-name': 'Laura', '@_fa': 'true', 'surname': 'Capoccia'}, {'given-name': 'Francesco', '@_fa': 'true', 'surname': 'Speziale'}]}",http://api.elsevier.com/content/article/pii/S0890509616312584,1-s2.0-S0890509616312584
A computational assessment of the hemodynamic effects of crossed and non-crossed bifurcated stent-graft devices for the treatment of abdominal aortic aneurysms,"AbstractThere are several issues attributed with abdominal aortic aneurysm endovascular repair. The positioning of bifurcated stent-grafts (SG) may affect SG hemodynamics. The hemodynamics and geometrical parameters of crossing or non-crossing graft limbs have not being totally accessed. Eight patient-specific SG devices and four pre-operative cases were computationally simulated, assessing the hemodynamic and geometrical effects for crossed (n= 4) and non-crossed (n= 4) configurations. SGs eliminated the occurrence of significant recirculations within the sac prior treatment. Dean's number predicted secondary flow locations with the greatest recirculations occurring at the outlets especially during the deceleration phase. Peak drag force varied from 3.9 to 8.7N, with greatest contribution occurring along the axial and anterior/posterior directions. Average resultant drag force was 20% smaller for the crossed configurations. Maximum drag force orientation varied from 1.4° to 51°. Drag force angle varied from 1° to 5° during one cardiac cycle. 44% to 62% of the resultant force acted along the proximal centerline where SG migration is most likely to occur. The clinician's decision for SG positioning may be a critical parameter, and should be considered prior to surgery. All crossed SG devices had an increased spiral flow effect along the distal legs with reductions in drag forces.",December 2016,"{'author': [{'given-name': 'Florian', '@_fa': 'true', 'surname': 'Stefanov'}, {'given-name': 'Tim', '@_fa': 'true', 'surname': 'McGloughlin'}, {'given-name': 'Liam', '@_fa': 'true', 'surname': 'Morris'}]}",http://api.elsevier.com/content/article/pii/S1350453316302119,1-s2.0-S1350453316302119
Decreased Serum Levels of High Mobility Group Box 1 (HMGB-1) After Graft Replacement or Stenting of Abdominal Aortic Aneurysm,N/A,Available online 28 November 2016,"{'author': [{'given-name': 'Daiki', '@_fa': 'true', 'surname': 'Ousaka'}, {'given-name': 'Yasuhiro', '@_fa': 'true', 'surname': 'Fujii'}, {'given-name': 'Susumu', '@_fa': 'true', 'surname': 'Oozawa'}, {'given-name': 'Masahiro', '@_fa': 'true', 'surname': 'Nishibori'}, {'given-name': 'Yosuke', '@_fa': 'true', 'surname': 'Kuroko'}, {'given-name': 'Zenichi', '@_fa': 'true', 'surname': 'Masuda'}, {'given-name': 'Shunji', '@_fa': 'true', 'surname': 'Sano'}]}",http://api.elsevier.com/content/article/pii/S0890509616312390,1-s2.0-S0890509616312390
Modern Anesthetic Management of Ruptured Abdominal Aortic Aneurysms,,December 2016,"{'author': [{'given-name': 'Katrina', '@_fa': 'true', 'surname': 'Hope'}, {'given-name': 'Gemma', '@_fa': 'true', 'surname': 'Nickols'}, {'given-name': 'Ronelle', '@_fa': 'true', 'surname': 'Mouton'}]}",http://api.elsevier.com/content/article/pii/S1053077016003098,1-s2.0-S1053077016003098
Abdominal Aortic Aneurysm in Marfan Syndrome,N/A,Available online 25 November 2016,"{'author': [{'given-name': 'Tracy', '@_fa': 'true', 'surname': 'Hagerty'}, {'given-name': 'Patrick', '@_fa': 'true', 'surname': 'Geraghty'}, {'given-name': 'Alan C.', '@_fa': 'true', 'surname': 'Braverman'}]}",http://api.elsevier.com/content/article/pii/S0890509616311785,1-s2.0-S0890509616311785
Custom-made conical endograft in the treatment of saccular Abdominal Aortic Aneurysms with tight and calcified distal neck: thinking out of the box,N/A,Available online 28 November 2016,"{'author': [{'given-name': 'Efstratios', '@_fa': 'true', 'surname': 'Georgakarakos'}, {'given-name': 'Christos', '@_fa': 'true', 'surname': 'Argyriou'}, {'given-name': 'Nikolaos', '@_fa': 'true', 'surname': 'Schoretsanitis'}, {'given-name': 'George S.', '@_fa': 'true', 'surname': 'Georgiadis'}]}",http://api.elsevier.com/content/article/pii/S0890509616312419,1-s2.0-S0890509616312419
Preoperative white blood cell count in patients with abdominal aortic aneurysms and its relation to survival following surgery,N/A,Available online 27 November 2016,"{'author': [{'given-name': 'Camilla', '@_fa': 'true', 'surname': 'Berge'}, {'given-name': 'Anne I.', '@_fa': 'true', 'surname': 'Hagen'}, {'given-name': 'Hans O.', '@_fa': 'true', 'surname': 'Myhre'}, {'given-name': 'Torbjørn', '@_fa': 'true', 'surname': 'Dahl'}]}",http://api.elsevier.com/content/article/pii/S0890509616312651,1-s2.0-S0890509616312651
Pulse wave analysis after treatment of abdominal aortic aneurysms with the ovation device,N/A,Available online 25 November 2016,"{'author': [{'given-name': 'Efstratios', '@_fa': 'true', 'surname': 'Georgakarakos'}, {'given-name': 'Christos', '@_fa': 'true', 'surname': 'Argyriou'}, {'given-name': 'George S.', '@_fa': 'true', 'surname': 'Georgiadis'}, {'given-name': 'Miltos K.', '@_fa': 'true', 'surname': 'Lazarides'}]}",http://api.elsevier.com/content/article/pii/S0890509616312171,1-s2.0-S0890509616312171
Tauroursodeoxycholic Acid Attenuates Angiotensin II Induced Abdominal Aortic Aneurysm Formation in Apolipoprotein E-deficient Mice by Inhibiting Endoplasmic Reticulum Stress,"Objective/BackgroundAbdominal aortic aneurysm (AAA) is characterised by the infiltration of smooth muscle cell (SMC) apoptosis, inflammatory cells, neovascularisation, and degradation of the extracellular matrix. Previous work has shown that endoplasmic reticulum (ER) stress and SMC apoptosis were increased both in a mouse model and human thoracic aortic aneurysm. However, whether the ER stress is activated in AAA formation and whether suppressing ER stress attenuates AAA is unknown.MethodsHuman AAA and control aorta samples were collected. Expression of ER stress chaperones glucose-regulated protein (GRP)-78 and GRP-94 was detected by immunohistochemical staining. The effect of ER stress inhibitor tauroursodeoxycholic acid (TUDCA) on AAA formation in angiotensin (Ang) II induced apolipoprotein E−/− mice was explored. Elastin staining was used to observe the rupture of elastic fragmentation. Immunohistochemistry and Western blot analysis were performed, to detect the protein expression of ER stress chaperones and apoptosis molecules.ResultsThere was significant upregulation of GRP-78 and GRP-94 in aneurysmal areas of human AAA and Ang II induced ApoE−/− mice (p &lt; .05). TUDCA significantly attenuated the maximum diameters of abdominal aortas in Ang II induced ApoE−/− mice (p &lt; .05). TUDCA significantly reduced expression of ER stress chaperones and the apoptotic cell numbers (p &lt; .05). Furthermore, TUDCA significantly reduced expression of apoptosis molecules, such as caspase-3, caspase-12, C/EBP homologous protein, c-Jun N-terminal kinase activating transcription factor 4, X-box binding protein, and eukaryotic initiation factor 2α in Ang II induced ApoE−/− mice (p &lt; .05).ConclusionThe results suggest that ER stress is involved in human and Ang II induced AAA formation in ApoE−/− mice. TUDCA attenuates Ang II induced AAA formation in ApoE−/− mice by inhibiting ER stress mediated apoptosis.",Available online 24 November 2016,"{'author': [{'given-name': 'Y.', '@_fa': 'true', 'surname': 'Qin'}, {'given-name': 'Y.', '@_fa': 'true', 'surname': 'Wang'}, {'given-name': 'O.', '@_fa': 'true', 'surname': 'Liu'}, {'given-name': 'L.', '@_fa': 'true', 'surname': 'Jia'}, {'given-name': 'W.', '@_fa': 'true', 'surname': 'Fang'}, {'given-name': 'J.', '@_fa': 'true', 'surname': 'Du'}, {'given-name': 'Y.', '@_fa': 'true', 'surname': 'Wei'}]}",http://api.elsevier.com/content/article/pii/S1078588416305627,1-s2.0-S1078588416305627
