Title,Abstract,Date,Authors
Does the diameter of abdominal aortic aneurysm influence late survival following abdominal aortic aneurysm repair? A systematic review and meta-analysis.,"Studies reporting the influence of preoperative abdominal aortic aneurysm diameter on late survival following abdominal aortic aneurysm repair have not been consistent. To report the influence of abdominal aortic aneurysm diameter on overall long-term survival following abdominal aortic aneurysm repair. Embase, Medline and the Cochrane electronic databases were searched to identify articles reporting the influence of abdominal aortic aneurysm diameter on late survival following open aneurysm repair and endovascular aneurysm repair published up to April 2015. Data were extracted from multivariate analysis; estimated risks were expressed as hazard ratio. A total of 2167 titles/abstracts were retrieved, of which 76 studies were fully assessed; 19 studies reporting on 22,104 patients were included. Preoperative larger abdominal aortic aneurysm size was associated with a worse survival compared to smaller aneurysms with a pooled hazard ratio of 1.14 (95% CI: 1.09-1.18), per 1 cm increase in abdominal aortic aneurysm diameter. Subgroup analysis of the different types of repair was performed and the hazard ratio (95% CI), for open aneurysm repair and endovascular aneurysm repair were 1.08 (1.03-1.12) and 1.20 (1.15-1.25), respectively, per 1 cm increase. There was a significant difference between the groups p < 0.02.",2016,"['Khashram, Manar', 'Hider, Phil N', 'Williman, Jonathan A', 'Jones, Gregory T', 'Roake, Justin A']"
Negative association of diabetes with rupture of abdominal aortic aneurysm.,"To summarize the association of diabetes with abdominal aortic aneurysm rupture, we reviewed currently available studies with a systematic literature search and meta-analytic evaluation. To identify all studies reporting the association of diabetes with abdominal aortic aneurysm rupture, MEDLINE and EMBASE were searched through July 2015. For each study, data regarding diabetes prevalence in both the ruptured and non-ruptured groups were used to generate an unadjusted odds ratio for abdominal aortic aneurysm rupture and 95% confidence intervals. Alternatively, an unadjusted or adjusted odds ratio, or hazard ratio for abdominal aortic aneurysm rupture with 95% confidence interval was directly abstracted (as available) from each individual study. Our search identified 11 eligible studies. A primary meta-analysis of nine studies reporting data on ruptured (not including non-ruptured symptomatic) abdominal aortic aneurysm demonstrated that diabetes was associated with significantly lower prevalence/incidence of abdominal aortic aneurysm rupture (odds ratio/hazard ratio, 0.71; 95% confidence interval, 0.56 to 0.89; p = 0.003). A secondary meta-analysis of all 11 studies (adding two studies in which non-ruptured symptomatic abdominal aortic aneurysm was included in the rupture group) also demonstrated that diabetes was associated with significantly lower prevalence/incidence of abdominal aortic aneurysm rupture (odds ratio/hazard ratio, 0.77; 95% confidence interval, 0.63 to 0.95; p = 0.01).",2016,Error Retrieving
Results of open pararenal abdominal aortic aneurysm repair: single centre series and pooled analysis of literature.,"Endovascular treatment of pararenal abdominal aortic aneurysm has gained terrain over the past decade, despite the substantial need for reinterventions during follow-up. However, open repair is still a well-established treatment option. With the current study we report the results of a consecutive series of elective primary open pararenal abdominal aortic aneurysm repair in a tertiary vascular referral centre, combined with an overview of current literature and pooled data analysis of perioperative mortality of open and endovascular pararenal abdominal aortic aneurysm repair. A retrospective analysis of a prospective database of all elective open pararenal abdominal aortic aneurysm repairs in the St. Antonius Hospital between 2005 and 2014 was performed. Primary endpoint was 30-day mortality. Secondary endpoints were 30-day morbidity, new onset dialysis, reintervention free survival, and overall survival during follow-up. Between 2005 and 2014, 214 consecutive patients underwent elective open pararenal abdominal aortic aneurysm repair. Mean age was 69.8 (±7.1) years, 82.7% (177/214) were men, and mean abdominal aortic aneurysm diameter was 62 (±11) mm. Thirty-day mortality was 3.4%. Thirty-day morbidity was 27.1%, which predominantly consisted of pneumonia (18.7% (40/214)), cardiac events (3.3% (7/214)), and new onset dialysis (2.8% (6/214)). Estimated five-year overall survival rate was 74.2%. 0.9% (2/214) of patients required abdominal aortic aneurysm-related reintervention, and an additional 2.3% (5/214) required surgical repair of an incisional hernia. Pooled analysis of literature revealed a 30-day mortality of 3.0% for open pararenal repair and 1.9% for fenestrated endovascular repair.",2016,"['van Lammeren, Guus W', 'Ünlü, Çağdaş', 'Verschoor, Sjoerd', 'van Dongen, Eric P', 'Wille, Jan', 'van de Pavoordt, Eric Dwm', 'de Vries-Werson, Debbie Ab', 'De Vries, Jean-Paul Pm']"
The impact of preoperative statin therapy on open and endovascular abdominal aortic aneurysm repair outcomes.,"This study evaluated the utilization of preoperative statins and their impact on perioperative outcomes in patients undergoing open or endovascular aortic repair. Patients ≥50 years of age with non-ruptured abdominal aortic aneurysm repair were identified in MedPAR files 2007-2008 utilizing ICD-9-CM codes. Preoperative statins use was identified using National Drug Codes in Part D. Chi-square test, multivariable logistic regression, Kaplan-Meier and Cox regression modeling were performed. In all, 19,323 patients were identified undergoing abdominal aortic aneurysm repair (14,602 endovascular aortic repair and 4721 open aortic repair); 9913 (50.3%) used statins before surgery. Bivariate analysis demonstrated lower rates of hospital, 30-, 90-day and 1-year mortality in patients with statins compared to those without statins after endovascular aortic repair (1.0% vs. 1.45%, p = 0.01; 1.51% vs. 2.3%, p = 0.0004; 3.05% vs. 4.66%, p < 0.0001; 7.91% vs. 11.56%, p < 0.0001, respectively). Multivariable logistic regression adjusting for age, gender, race, comorbidities and procedure demonstrated preoperative statins use was associated with a mortality reduction at 90-days postoperatively (odds ratio = 0.80; 95% CI 0.70-0.91, p = 0.0014) and 1-year postoperatively (odds ratio = 0.76; 95% CI 0.69-0.84, p = 0.0001).",2015,"['Galiñanes, Edgar Luis', 'Reynolds, Shaun', 'Dombrovskiy, Viktor Y', 'Vogel, Todd R']"
Prevention of abdominal aortic aneurysm progression by targeted inhibition of matrix metalloproteinase activity with batimastat-loaded nanoparticles.,"Matrix metalloproteinases (MMPs)-mediated extracellular matrix destruction is the major cause of development and progression of abdominal aortic aneurysms. Systemic treatments of MMP inhibitors have shown effectiveness in animal models, but it did not translate to clinical success either because of low doses used or systemic side effects of MMP inhibitors. We propose a targeted nanoparticle (NP)-based delivery of MMP inhibitor at low doses to the abdominal aortic aneurysms site. Such therapy will be an attractive option for preventing expansion of aneurysms in patients without systemic side effects. Our previous study showed that poly(d,l-lactide) NPs conjugated with an antielastin antibody could be targeted to the site of an aneurysm in a rat model of abdominal aortic aneurysms. In the study reported here, we tested whether such targeted NPs could deliver the MMP inhibitor batimastat (BB-94) to the site of an aneurysm and prevent aneurysmal growth. Poly(d,l-lactide) NPs were loaded with BB-94 and conjugated with an elastin antibody. Intravenous injections of elastin antibody-conjugated BB-94-loaded NPs targeted the site of aneurysms and delivered BB-94 in a calcium chloride injury-induced abdominal aortic aneurysms in rats. Such targeted delivery inhibited MMP activity, elastin degradation, calcification, and aneurysmal development in the aorta (269% expansion in control versus 40% elastin antibody-conjugated BB-94-loaded NPs) at a low dose of BB-94. The systemic administration of BB-94 alone at the same dose was ineffective in producing MMP inhibition.",2015,"['Nosoudi, Nasim', 'Nahar-Gohad, Pranjal', 'Sinha, Aditi', 'Chowdhury, Aniqa', 'Gerard, Patrick', 'Carsten, Christopher G', 'Gray, Bruce H', 'Vyavahare, Naren R']"
Endovascular treatment of a small infrarenal abdominal aortic aneurysm causing duodenal obstruction: Case report and literature review.,"Duodenal obstruction caused by abdominal aortic aneurysm was first described by Osler in 1905 and is named ""aortoduodenal syndrome."" This condition has always been treated by open surgical repair. We report the first case of aortoduodenal syndrome successfully treated by endovascular aneurysm repair. A 74-year-old male patient referred to our hospital complaining postprandial vomit, reporting a consistent weight loss in the latest weeks. Enhanced computed tomography scans showed a small saccular abdominal aortic aneurysm compressing duodenum and inferior vena cava without any other evident pathological finding. As the patient underwent a successful endovascular treatment of the abdominal aortic aneurysm, symptoms immediately resolved so that he started back to feed and progressively gained body weight. Despite aortoduodenal syndrome is generally caused by large abdominal aortic aneurysm, this condition has to be suspected also in case of small abdominal aortic aneurysm. Differently from what has been reported in literature, endovascular aneurysm repair could be effective in the treatment of aortoduodenal syndrome.",2015,"['Esposito, Andrea', 'Menna, Danilo', 'Mansour, Wassim', 'Sirignano, Pasqualino', 'Capoccia, Laura', 'Speziale, Francesco']"
Family history of atherosclerotic vascular disease is associated with the presence of abdominal aortic aneurysm.,"We investigated whether family history (FHx) of atherosclerotic cardiovascular disease (ASCVD) was associated with presence of abdominal aortic aneurysm (AAA). The study cohort comprised of 696 patients with AAA (70±8 years, 84% men) and 2686 controls (68±10 years, 61% men) recruited from noninvasive vascular and stress electrocardiogram (ECG) laboratories at Mayo Clinic. AAA was defined as a transverse diameter of abdominal aorta ⩾ 3 cm or history of AAA repair. Controls were not known to have AAA. FHx was defined as having at least one first-degree relative with aortic aneurysm or with onset of ASCVD (coronary, cerebral or peripheral artery disease) before age 65 years. FHx of aortic aneurysm or ASCVD were each associated with presence of AAA after adjustment for age, sex, conventional risk factors and ASCVD: adjusted odds ratios (OR; 95% confidence interval): 2.17 (1.66-2.83, p < 0.01) and 1.31 (1.08-1.59, p < 0.01), respectively. FHx of ASCVD remained associated with AAA after additional adjustment for FHx of aortic aneurysm: adjusted OR: 1.27 (1.05-1.55, p = 0.01). FHx of ASCVD in multiple arterial locations was associated with higher odds of having AAA: the adjusted odds were 1.23 times higher for each additionally affected arterial location reported in the FHx (1.08-1.40, p = 0.01). Our results suggest both unique and shared environmental and genetic factors mediating susceptibility to AAA and ASCVD.",2016,"['Ye, Zi', 'Bailey, Kent R', 'Austin, Erin', 'Kullo, Iftikhar J']"
CXCR4: A Potential Marker for Inflammatory Activity in Abdominal Aortic Aneurysm Wall.,"The aim of the study was to evaluate the potential role of chemokine receptor CXCR4 and its ligand CXCL12 in the pathogenesis of abdominal aortic aneurysm (AAA). AAA tissue specimens were obtained from the anterior or lateral aneurysm sac of patients (n = 32, 26 males, 6 females; 66.8 ± 11.2 years, diameter 64.4 ± 17.0 mm), who underwent elective open surgical repair. Twelve non-aneurysmal aortic specimens from transplant donors served as controls. Expression analysis of CXCR4 and CXCL12 at mRNA and protein level was determined by quantitative reverse transcription-polymerase chain reaction (RT-PCR) and western blot. Immunohistochemical staining of corresponding histological sections for CD3 (T-cells), CD20 (B-cells), and CD68 (macrophages) was performed to determine the cellular localization of CXCR4 and CXCL12. Data were analyzed with SPSS 20.0 using Mann-Whitney U test and Spearman's rank correlation coefficient. Gene expression of CXCR4 and CXCL12 was 9.6 and 4.6 fold higher in AAA than in non-aneurysmal aorta (p = .0004 and p < .0001, respectively). Likewise, the protein level of CXCR4 was increased 3.2 fold in AAA wall compared with non-aneurysmal aortic tissue (p < .0001), although CXCL12 could not be detected. Immunohistochemical analysis revealed that CXCR4 was expressed in B and T lymphocytes and macrophages, and CXCL12 was observed only in plasma cells.",2015,"['Tanios, F', 'Pelisek, J', 'Lutz, B', 'Reutersberg, B', 'Matevossian, E', 'Schwamborn, K', 'Hösel, V', 'Eckstein, H-H', 'Reeps, C']"
Membrane-Bound Thrombomodulin Regulates Macrophage Inflammation in Abdominal Aortic Aneurysm.,"Thrombomodulin (TM), a glycoprotein constitutively expressed in the endothelium, is well known for its anticoagulant and anti-inflammatory properties. Paradoxically, we recently found that monocytic membrane-bound TM (ie, endogenous TM expression in monocytes) triggers lipopolysaccharide- and gram-negative bacteria-induced inflammatory responses. However, the significance of membrane-bound TM in chronic sterile vascular inflammation and the development of abdominal aortic aneurysm (AAA) remains undetermined. Implicating a potential role for membrane-bound TM in AAA, we found that TM signals were predominantly localized to macrophages and vascular smooth muscle cells in human aneurysm specimens. Characterization of the CaCl2-induced AAA in mice revealed that during aneurysm development, TM expression was mainly localized in infiltrating macrophages and vascular smooth muscle cells. To investigate the function of membrane-bound TM in vivo, transgenic mice with myeloid- (LysMcre/TM(flox/flox)) and vascular smooth muscle cell-specific (SM22-cre(tg)/TM(flox/flox)) TM ablation and their respective wild-type controls (TM(flox/flox) and SM22-cre(tg)/TM(+/+)) were generated. In the mouse CaCl2-induced AAA model, deficiency of myeloid TM, but not vascular smooth muscle cell TM, inhibited macrophage accumulation, attenuated proinflammatory cytokine and matrix metalloproteinase-9 production, and finally mitigated elastin destruction and aortic dilatation. In vitro TM-deficient monocytes/macrophages, versus TM wild-type counterparts, exhibited attenuation of proinflammatory mediator expression, adhesion to endothelial cells, and generation of reactive oxygen species. Consistently, myeloid TM-deficient hyperlipidemic mice (ApoE(-/-)/LysMcre/TM(flox/flox)) were resistant to AAA formation induced by angiotensin II infusion, along with reduced macrophage infiltration, suppressed matrix metalloproteinase activities, and diminished oxidative stress.",2015,"['Wang, Kuan-Chieh', 'Li, Yi-Heng', 'Shi, Guey-Yueh', 'Tsai, Hung-Wen', 'Luo, Chawn-Yau', 'Cheng, Min-Hua', 'Ma, Chih-Yuan', 'Hsu, Yun-Yan', 'Cheng, Tsung-Lin', 'Chang, Bi-Ing', 'Lai, Chao-Han', 'Wu, Hua-Lin']"
A peptide antagonist of thrombospondin-1 promotes abdominal aortic aneurysm progression in the angiotensin II-infused apolipoprotein-E-deficient mouse.,"Interaction of the activating sequence in thrombospondin-1 (TSP-1) with the conserved sequence (leucine-serine-lysine-leucine [LSKL]) in the latency-associated peptide region of latent transforming growth factor (TGF)-β complex is important in regulating TGF-β1 activity. We aimed to assess the effect of blocking peptide LSKL on the progression of pre-established abdominal aortic aneurysm in angiotensin II-infused apolipoprotein E-deficient (ApoE(-/-)) mice. Abdominal aortic aneurysm was established in 3-month-old male ApoE(-/-) mice with subcutaneous infusion of angiotensin II for 28 days. After this, mice received LSKL peptide or control SLLK (serine-leucine-leucine-lysine) peptide (4 mg/kg) via daily intraperitoneal injection for an additional 2 weeks. Administration of LSKL peptide promoted larger suprarenal aortic diameter, as determined by ultrasound and morphometric analysis, and stimulated more severe atherosclerosis within the aortic arch. In addition, mice receiving LSKL peptide exhibited elevated circulating proinflammatory cytokine levels and greater inflammatory cells within the suprarenal aorta compared with controls. Mice receiving LSKL peptide showed low plasma TGF-β1 activity and low levels of aortic tissue phosphorylated to total Smad2/3. Aortic gene expression of TGF-β receptor 1 (TGFBRI) and receptor 2 (TGFBRII), but not TGF-β1 and thrombospondin-1, were lower in mice receiving LSKL peptide than controls. LSKL peptide administration was associated with greater aortic elastin fragmentation and lower expression and activity of the TGF-β1-target gene lysyl oxidase like 1 (LOXL1).",2015,"['Krishna, Smriti M', 'Seto, Sai Wang', 'Jose, Roby J', 'Biros, Erik', 'Moran, Corey S', 'Wang, Yutang', 'Clancy, Paula', 'Golledge, Jonathan']"
